term,estimate,std.error,D,sim_scenaio
sigma0,0.543279680624063,0.194066333737001,10,JPLP_sim
beta,1.1811396472403,0.125181260388843,10,JPLP_sim
kappa,0.806678176197659,0.0818853874125618,10,JPLP_sim
R1_K[1],1.0130923610979,0.138936246682021,10,JPLP_sim
R1_K[2],0.221538164839398,0.0956887452147074,10,JPLP_sim
R1_K[3],0.240133455707264,0.0697045201682741,10,JPLP_sim
mu0_true,0.360462695797628,0.30208635446867,10,JPLP_sim
sigma0,0.522337478847735,0.190008543009468,10,JPLP_sim
beta,1.22740441753176,0.0637117784704011,10,JPLP_sim
kappa,0.826342133562525,0.0518810948716604,10,JPLP_sim
R1_K[1],1.05121156792999,0.0763706557709537,10,JPLP_sim
R1_K[2],0.371265317875404,0.0803800210470594,10,JPLP_sim
R1_K[3],0.147442946307483,0.0427177532910855,10,JPLP_sim
mu0_true,0.310424646051745,0.214690511768135,10,JPLP_sim
sigma0,0.392697304315041,0.143947989584851,10,JPLP_sim
beta,1.1944378453433,0.0885349140506773,10,JPLP_sim
kappa,0.785718068044804,0.0616357665394173,10,JPLP_sim
R1_K[1],1.06285805042454,0.110507861497252,10,JPLP_sim
R1_K[2],0.292691543880047,0.109045850180952,10,JPLP_sim
R1_K[3],0.192789983165826,0.0464985110911002,10,JPLP_sim
mu0_true,0.370514841928777,0.208899821236612,10,JPLP_sim
sigma0,0.546071228431157,0.193064955270584,10,JPLP_sim
beta,1.05019279524023,0.0876840380637259,10,JPLP_sim
kappa,0.854627409718312,0.0697052487061293,10,JPLP_sim
R1_K[1],1.20453615085205,0.143175353839561,10,JPLP_sim
R1_K[2],0.429597143766407,0.122264253390791,10,JPLP_sim
R1_K[3],0.222302215015394,0.0547996404710664,10,JPLP_sim
mu0_true,-0.112892522642924,0.280720593314189,10,JPLP_sim
sigma0,0.454674060935075,0.168104551319856,10,JPLP_sim
beta,1.06932509368556,0.0712965514507771,10,JPLP_sim
kappa,0.895895507501925,0.0539184236299687,10,JPLP_sim
R1_K[1],1.18516850379713,0.110604308477464,10,JPLP_sim
R1_K[2],0.52387075996804,0.110765337704381,10,JPLP_sim
R1_K[3],0.163934211096254,0.0471916348290746,10,JPLP_sim
mu0_true,0.207924144613479,0.239860053539969,10,JPLP_sim
sigma0,0.667684641039711,0.190211796608068,10,JPLP_sim
beta,1.28707613118799,0.0807487723541748,10,JPLP_sim
kappa,0.788619200327707,0.0534091030222604,10,JPLP_sim
R1_K[1],0.825029842963571,0.0723054164364516,10,JPLP_sim
R1_K[2],0.213149116038509,0.0725721120957677,10,JPLP_sim
R1_K[3],0.141371043832178,0.034914519232206,10,JPLP_sim
mu0_true,0.393244750802167,0.245606578076421,10,JPLP_sim
sigma0,0.628789309507312,0.188112636515301,10,JPLP_sim
beta,1.06495673185749,0.0651940380493885,10,JPLP_sim
kappa,0.811899852813441,0.0481198197454782,10,JPLP_sim
R1_K[1],1.08381798094628,0.071944400392123,10,JPLP_sim
R1_K[2],0.297567487262352,0.0547851449531118,10,JPLP_sim
R1_K[3],0.321966344747271,0.0454142021366867,10,JPLP_sim
mu0_true,-0.415900702025612,0.254556470233585,10,JPLP_sim
sigma0,0.592810147669663,0.199848451499666,10,JPLP_sim
beta,1.36052434660599,0.101063967325976,10,JPLP_sim
kappa,0.729406574973115,0.0585448516910944,10,JPLP_sim
R1_K[1],0.900099906386545,0.0871554779947201,10,JPLP_sim
R1_K[2],0.142001296362464,0.076761526342473,10,JPLP_sim
R1_K[3],0.13138080981272,0.0448453441244053,10,JPLP_sim
mu0_true,0.473413162245213,0.263482520069719,10,JPLP_sim
sigma0,0.724227180527081,0.241112119855694,10,JPLP_sim
beta,1.33912188545263,0.110404603744317,10,JPLP_sim
kappa,0.762875447298348,0.0688562836662065,10,JPLP_sim
R1_K[1],0.989548467750372,0.11249788499978,10,JPLP_sim
R1_K[2],0.493878472002288,0.10457665175595,10,JPLP_sim
R1_K[3],0.213131712986502,0.0616705276517163,10,JPLP_sim
mu0_true,0.459704056531939,0.292527066450549,10,JPLP_sim
sigma0,0.718940060546634,0.227503664336751,10,JPLP_sim
beta,1.03720328719839,0.0602413694384021,10,JPLP_sim
kappa,0.926453736742759,0.0469308509954461,10,JPLP_sim
R1_K[1],1.2844232341161,0.11501726509106,10,JPLP_sim
R1_K[2],0.392181804671958,0.0630593236395168,10,JPLP_sim
R1_K[3],0.199376244597233,0.0421314185569564,10,JPLP_sim
mu0_true,-0.196857294616446,0.291930159873281,10,JPLP_sim
sigma0,0.379076089684029,0.151987604325489,10,JPLP_sim
beta,1.18600297270185,0.103293564057206,10,JPLP_sim
kappa,0.76888659684612,0.0759638393696048,10,JPLP_sim
R1_K[1],1.14810878301089,0.137957861126932,10,JPLP_sim
R1_K[2],0.341951068383509,0.0999141120985765,10,JPLP_sim
R1_K[3],0.113596442268329,0.055595952593427,10,JPLP_sim
mu0_true,0.204720225260184,0.236942123648287,10,JPLP_sim
sigma0,0.417063763879905,0.149459840807699,10,JPLP_sim
beta,1.25745565929962,0.0913054757779113,10,JPLP_sim
kappa,0.804379637737091,0.0691251321519723,10,JPLP_sim
R1_K[1],0.999744343612635,0.0996726385664412,10,JPLP_sim
R1_K[2],0.296840861110202,0.0963502142936595,10,JPLP_sim
R1_K[3],0.202526639105106,0.0401020050958545,10,JPLP_sim
mu0_true,0.365705230205119,0.198419283448849,10,JPLP_sim
sigma0,0.697564436726352,0.223856859525076,10,JPLP_sim
beta,1.24367851786559,0.0895702633906582,10,JPLP_sim
kappa,0.783182963942944,0.0640385844665758,10,JPLP_sim
R1_K[1],0.942891512388528,0.108294019077132,10,JPLP_sim
R1_K[2],0.292544069715277,0.0842505908978202,10,JPLP_sim
