term,estimate,std.error
sigma0,0.497579962916715,0.0479530273310729
beta,1.25080009996147,0.0267686943153307
kappa,0.766522260207128,0.017102968982535
R1_K[1],0.954090198527621,0.0279668668399889
R1_K[2],0.29113481780712,0.024429973197568
R1_K[3],0.190166333143587,0.013981658555864
mu0_true,0.128606684808067,0.0750197401305841
sigma0,0.543107555485628,0.0531609126662177
beta,1.19611781794675,0.0284286152255085
kappa,0.81282931482717,0.0206069665973539
R1_K[1],1.01382381709291,0.0320078080011557
R1_K[2],0.329820822471432,0.022906474008974
R1_K[3],0.226854855980063,0.015303490978683
mu0_true,0.0957779364384769,0.0817539627294443
sigma0,0.48255352206074,0.0491614468590449
beta,1.22659295137652,0.0267514464259245
kappa,0.790528973686266,0.0176496544340104
R1_K[1],0.993407536947861,0.0281536141049295
R1_K[2],0.28879152499549,0.0231457165054431
R1_K[3],0.200178783778681,0.014399368926606
mu0_true,0.139520781728364,0.0749762340127808
sigma0,0.473490897413694,0.0486843742133768
beta,1.18442117669254,0.0316980121746447
kappa,0.795651918578224,0.0214450541502761
R1_K[1],1.00441535464792,0.0354869425215445
R1_K[2],0.34872812389841,0.033210639996904
R1_K[3],0.221894775135161,0.0160986323973457
mu0_true,0.239741367630723,0.0795370888417512
sigma0,0.473490897413694,0.0486843742133768
beta,1.18442117669254,0.0316980121746447
kappa,0.795651918578224,0.0214450541502761
R1_K[1],1.00441535464792,0.0354869425215445
R1_K[2],0.34872812389841,0.033210639996904
R1_K[3],0.221894775135161,0.0160986323973457
mu0_true,0.239741367630723,0.0795370888417512
sigma0,0.488731792518062,0.0496757832333902
beta,1.16675650083836,0.0293501303349563
kappa,0.814949116821739,0.021501334374638
R1_K[1],1.04316965683516,0.0357250778817749
R1_K[2],0.282860806419102,0.025890049572635
R1_K[3],0.223836564163412,0.0182352170212781
mu0_true,0.0881825962092183,0.0829899563963198
sigma0,0.489968725653699,0.0514476380621508
beta,1.15789815353109,0.0278867705855872
kappa,0.809147770684447,0.019756590420138
