term,estimate,std.error,D,sim_scenaio
sigma0,0.560512199619916,0.206700057259427,10,PLP_sim
beta,1.26372219031655,0.0761062003675505,10,PLP_sim
R1_K[1],0.932694809757815,0.0900837982097217,10,PLP_sim
R1_K[2],0.267892835004273,0.0703901972886401,10,PLP_sim
R1_K[3],0.212832993131441,0.0490868664961425,10,PLP_sim
mu0_true,0.382924915819399,0.279053778164178,10,PLP_sim
sigma0,0.449794286824577,0.153723533606686,10,PLP_sim
beta,1.25044968688543,0.0632665034165763,10,PLP_sim
R1_K[1],0.917770910106174,0.0722142113177944,10,PLP_sim
R1_K[2],0.324401807995813,0.0599712911753011,10,PLP_sim
R1_K[3],0.201925458016316,0.0428119659217391,10,PLP_sim
mu0_true,0.346057646316632,0.183883722300457,10,PLP_sim
sigma0,0.263998997863758,0.115116265493218,10,PLP_sim
beta,1.04861196901911,0.0507886189056509,10,PLP_sim
R1_K[1],1.18934334023623,0.0830061518648702,10,PLP_sim
R1_K[2],0.340712703562201,0.0912351602681667,10,PLP_sim
R1_K[3],0.307822707978252,0.0455034564745793,10,PLP_sim
mu0_true,-0.0838111881143638,0.184359920416869,10,PLP_sim
sigma0,0.227602837607601,0.0996390644536008,10,PLP_sim
beta,1.18455742701794,0.0572630328193933,10,PLP_sim
R1_K[1],0.999401441014078,0.0747219367997069,10,PLP_sim
R1_K[2],0.174280540043498,0.106545456143388,10,PLP_sim
R1_K[3],0.159398217684097,0.0378160216971692,10,PLP_sim
mu0_true,0.0470083562681395,0.195954057760377,10,PLP_sim
sigma0,0.507612321919755,0.151537442360235,10,PLP_sim
beta,1.10709542140994,0.0728836747703633,10,PLP_sim
R1_K[1],1.0889011397438,0.123602705911049,10,PLP_sim
R1_K[2],0.384072171813076,0.104455449781341,10,PLP_sim
R1_K[3],0.27416803719591,0.055776093207953,10,PLP_sim
mu0_true,-0.123636303941994,0.284731398866276,10,PLP_sim
sigma0,0.469236670858363,0.138591582687273,10,PLP_sim
beta,1.22776214924968,0.0657284253745198,10,PLP_sim
R1_K[1],0.915480107702319,0.0786434709848603,10,PLP_sim
R1_K[2],0.211054298747072,0.0639213597797883,10,PLP_sim
R1_K[3],0.180382067244315,0.0383804550300402,10,PLP_sim
mu0_true,0.358694663019582,0.200695008350055,10,PLP_sim
sigma0,0.450566904781241,0.13214787163278,10,PLP_sim
beta,1.14057480661353,0.0557444925726734,10,PLP_sim
R1_K[1],1.05590516718856,0.0846976662639697,10,PLP_sim
R1_K[2],0.356998031649221,0.0758093951875141,10,PLP_sim
R1_K[3],0.155060641406135,0.0305522710598499,10,PLP_sim
mu0_true,-0.00553033952081925,0.210119150370129,10,PLP_sim
sigma0,0.330463357610915,0.128476685396052,10,PLP_sim
beta,1.16210440117434,0.0690212476382837,10,PLP_sim
R1_K[1],1.0631358955378,0.113331172266669,10,PLP_sim
R1_K[2],0.318596679176757,0.0932523028162233,10,PLP_sim
R1_K[3],0.219294280370484,0.0434926984201451,10,PLP_sim
mu0_true,0.214486013690226,0.195278974522563,10,PLP_sim
sigma0,0.66198644276092,0.189535996411159,10,PLP_sim
beta,1.15961827087647,0.0541486413683914,10,PLP_sim
R1_K[1],1.05065154420379,0.0776691385021234,10,PLP_sim
R1_K[2],0.339911960110666,0.0821698690145118,10,PLP_sim
R1_K[3],0.195910092917102,0.0391837429229638,10,PLP_sim
mu0_true,0.1175227387591,0.272523414444367,10,PLP_sim
sigma0,0.814729414031799,0.217867369505433,10,PLP_sim
beta,1.11025354184134,0.0471798144284374,10,PLP_sim
R1_K[1],1.24575869808539,0.0847244415907255,10,PLP_sim
R1_K[2],0.324681491263868,0.0473746075145647,10,PLP_sim
R1_K[3],0.190634562047529,0.0365712372853137,10,PLP_sim
mu0_true,-0.0359578673135611,0.307082688043568,10,PLP_sim
sigma0,0.668110740233294,0.197114486993598,10,PLP_sim
beta,1.13464631615538,0.0424626313511667,10,PLP_sim
R1_K[1],1.01875644930797,0.0549389869391673,10,PLP_sim
R1_K[2],0.296555408808221,0.0594302974010606,10,PLP_sim
R1_K[3],0.151554306910296,0.0350377035272353,10,PLP_sim
mu0_true,-0.128768465737347,0.25949012396983,10,PLP_sim
sigma0,0.680405271608963,0.191873608693386,10,PLP_sim
beta,1.17316314142497,0.0490404164103067,10,PLP_sim
R1_K[1],1.10858893069532,0.0726421846610606,10,PLP_sim
R1_K[2],0.399388728363715,0.0621393146842369,10,PLP_sim
R1_K[3],0.144944560193333,0.0327082267069068,10,PLP_sim
mu0_true,0.0326934052057184,0.269226464745279,10,PLP_sim
sigma0,0.528254089465772,0.149171008964163,10,PLP_sim
beta,1.19855485746398,0.0528480598636558,10,PLP_sim
R1_K[1],1.03625882186335,0.0738498324531378,10,PLP_sim
R1_K[2],0.313262806071449,0.0519502448426299,10,PLP_sim
R1_K[3],0.167838417783426,0.0346628925098177,10,PLP_sim
mu0_true,0.155720613943641,0.206954883004661,10,PLP_sim
sigma0,0.424202941582883,0.128563694741091,10,PLP_sim
beta,1.09775970714987,0.0463285837281647,10,PLP_sim
R1_K[1],1.16379191567611,0.0717675863860073,10,PLP_sim
R1_K[2],0.391125708964142,0.0542578094248759,10,PLP_sim
R1_K[3],0.182123516465287,0.0414365321648051,10,PLP_sim
mu0_true,-0.00998134518370542,0.206054017089209,10,PLP_sim
sigma0,0.641748323122276,0.216385456301691,10,PLP_sim
beta,1.13182798202982,0.0518798556214189,10,PLP_sim
R1_K[1],1.05326715843982,0.0743310291469991,10,PLP_sim
R1_K[2],0.335832546384876,0.0553731496014818,10,PLP_sim
R1_K[3],0.167216325874898,0.0401136339398593,10,PLP_sim
mu0_true,-0.0408602910500923,0.264607850745678,10,PLP_sim
sigma0,0.719576487193413,0.203564917407656,10,PLP_sim
beta,1.10457361976291,0.062562964382367,10,PLP_sim
R1_K[1],1.04516575897439,0.0934538519604843,10,PLP_sim
R1_K[2],0.322324321847922,0.0656791346220775,10,PLP_sim
R1_K[3],0.174034688145122,0.0516849064399356,10,PLP_sim
mu0_true,0.261386634525608,0.269844324523336,10,PLP_sim
sigma0,0.605897802754042,0.201759507624204,10,PLP_sim
beta,1.16087499916385,0.0577777292547444,10,PLP_sim
R1_K[1],1.02110797019928,0.0819965319701112,10,PLP_sim
R1_K[2],0.352879508037573,0.070161449846052,10,PLP_sim
R1_K[3],0.285432880323966,0.0402919354245302,10,PLP_sim
mu0_true,-0.0896045868576805,0.25490065524928,10,PLP_sim
sigma0,0.473288829363719,0.156232226322766,10,PLP_sim
beta,1.18324717495793,0.0534994542630634,10,PLP_sim
R1_K[1],0.966823106495647,0.0674595444361387,10,PLP_sim
R1_K[2],0.310149006126785,0.0582860616480187,10,PLP_sim
R1_K[3],0.236125131023434,0.0356694303827542,10,PLP_sim
mu0_true,-0.0554091737093931,0.215184319400985,10,PLP_sim
sigma0,0.254481580418224,0.116867430193982,10,PLP_sim
beta,1.23938468248447,0.0518106558604378,10,PLP_sim
R1_K[1],1.01368134628633,0.0574429288127201,10,PLP_sim
