term,estimate,std.error
sigma0,0.560512199619916,0.206700057259427
beta,1.26372219031655,0.0761062003675505
R1_K[1],0.932694809757815,0.0900837982097217
R1_K[2],0.267892835004273,0.0703901972886401
R1_K[3],0.212832993131441,0.0490868664961425
mu0_true,0.382924915819399,0.279053778164178
sigma0,0.449794286824577,0.153723533606686
beta,1.25044968688543,0.0632665034165763
R1_K[1],0.917770910106174,0.0722142113177944
R1_K[2],0.324401807995813,0.0599712911753011
R1_K[3],0.201925458016316,0.0428119659217391
mu0_true,0.346057646316632,0.183883722300457
sigma0,0.263998997863758,0.115116265493218
beta,1.04861196901911,0.0507886189056509
R1_K[1],1.18934334023623,0.0830061518648702
R1_K[2],0.340712703562201,0.0912351602681667
R1_K[3],0.307822707978252,0.0455034564745793
mu0_true,-0.0838111881143638,0.184359920416869
sigma0,0.227602837607601,0.0996390644536008
beta,1.18455742701794,0.0572630328193933
R1_K[1],0.999401441014078,0.0747219367997069
R1_K[2],0.174280540043498,0.106545456143388
R1_K[3],0.159398217684097,0.0378160216971692
mu0_true,0.0470083562681395,0.195954057760377
sigma0,0.507612321919755,0.151537442360235
beta,1.10709542140994,0.0728836747703633
R1_K[1],1.0889011397438,0.123602705911049
R1_K[2],0.384072171813076,0.104455449781341
R1_K[3],0.27416803719591,0.055776093207953
mu0_true,-0.123636303941994,0.284731398866276
sigma0,0.469236670858363,0.138591582687273
beta,1.22776214924968,0.0657284253745198
R1_K[1],0.915480107702319,0.0786434709848603
R1_K[2],0.211054298747072,0.0639213597797883
R1_K[3],0.180382067244315,0.0383804550300402
mu0_true,0.358694663019582,0.200695008350055
sigma0,0.450566904781241,0.13214787163278
beta,1.14057480661353,0.0557444925726734
R1_K[1],1.05590516718856,0.0846976662639697
R1_K[2],0.356998031649221,0.0758093951875141
R1_K[3],0.155060641406135,0.0305522710598499
mu0_true,-0.00553033952081925,0.210119150370129
sigma0,0.330463357610915,0.128476685396052
beta,1.16210440117434,0.0690212476382837
R1_K[1],1.0631358955378,0.113331172266669
R1_K[2],0.318596679176757,0.0932523028162233
R1_K[3],0.219294280370484,0.0434926984201451
mu0_true,0.214486013690226,0.195278974522563
sigma0,0.66198644276092,0.189535996411159
beta,1.15961827087647,0.0541486413683914
R1_K[1],1.05065154420379,0.0776691385021234
R1_K[2],0.339911960110666,0.0821698690145118
R1_K[3],0.195910092917102,0.0391837429229638
mu0_true,0.1175227387591,0.272523414444367
sigma0,0.814729414031799,0.217867369505433
beta,1.11025354184134,0.0471798144284374
R1_K[1],1.24575869808539,0.0847244415907255
R1_K[2],0.324681491263868,0.0473746075145647
R1_K[3],0.190634562047529,0.0365712372853137
mu0_true,-0.0359578673135611,0.307082688043568
sigma0,0.668110740233294,0.197114486993598
beta,1.13464631615538,0.0424626313511667
R1_K[1],1.01875644930797,0.0549389869391673
R1_K[2],0.296555408808221,0.0594302974010606
R1_K[3],0.151554306910296,0.0350377035272353
mu0_true,-0.128768465737347,0.25949012396983
sigma0,0.680405271608963,0.191873608693386
beta,1.17316314142497,0.0490404164103067
R1_K[1],1.10858893069532,0.0726421846610606
R1_K[2],0.399388728363715,0.0621393146842369
R1_K[3],0.144944560193333,0.0327082267069068
mu0_true,0.0326934052057184,0.269226464745279
sigma0,0.528254089465772,0.149171008964163
beta,1.19855485746398,0.0528480598636558
R1_K[1],1.03625882186335,0.0738498324531378
R1_K[2],0.313262806071449,0.0519502448426299
R1_K[3],0.167838417783426,0.0346628925098177
mu0_true,0.155720613943641,0.206954883004661
sigma0,0.424202941582883,0.128563694741091
beta,1.09775970714987,0.0463285837281647
R1_K[1],1.16379191567611,0.0717675863860073
R1_K[2],0.391125708964142,0.0542578094248759
R1_K[3],0.182123516465287,0.0414365321648051
mu0_true,-0.00998134518370542,0.206054017089209
sigma0,0.641748323122276,0.216385456301691
beta,1.13182798202982,0.0518798556214189
R1_K[1],1.05326715843982,0.0743310291469991
R1_K[2],0.335832546384876,0.0553731496014818
R1_K[3],0.167216325874898,0.0401136339398593
mu0_true,-0.0408602910500923,0.264607850745678
sigma0,0.719576487193413,0.203564917407656
beta,1.10457361976291,0.062562964382367
R1_K[1],1.04516575897439,0.0934538519604843
R1_K[2],0.322324321847922,0.0656791346220775
R1_K[3],0.174034688145122,0.0516849064399356
mu0_true,0.261386634525608,0.269844324523336
sigma0,0.605897802754042,0.201759507624204
beta,1.16087499916385,0.0577777292547444
R1_K[1],1.02110797019928,0.0819965319701112
R1_K[2],0.352879508037573,0.070161449846052
R1_K[3],0.285432880323966,0.0402919354245302
mu0_true,-0.0896045868576805,0.25490065524928
sigma0,0.473288829363719,0.156232226322766
beta,1.18324717495793,0.0534994542630634
R1_K[1],0.966823106495647,0.0674595444361387
R1_K[2],0.310149006126785,0.0582860616480187
R1_K[3],0.236125131023434,0.0356694303827542
mu0_true,-0.0554091737093931,0.215184319400985
sigma0,0.254481580418224,0.116867430193982
beta,1.23938468248447,0.0518106558604378
R1_K[1],1.01368134628633,0.0574429288127201
R1_K[2],0.254846343168154,0.0745640679466104
R1_K[3],0.269482261412315,0.0413075609930889
mu0_true,-0.0352809925017503,0.161570878707028
sigma0,0.496171184191009,0.158752483897682
beta,1.2235476941884,0.0674885193627045
R1_K[1],1.0623581222367,0.089664620473628
R1_K[2],0.414631383121214,0.083359441191215
R1_K[3],0.101475156705049,0.0390724524898297
mu0_true,0.238514507268522,0.232250214131617
sigma0,0.524422476359807,0.151354831286155
beta,1.22096580087721,0.0485755399499908
R1_K[1],1.03233187787686,0.0661202147122517
R1_K[2],0.237372790111883,0.0417642266223288
R1_K[3],0.201578338506076,0.0410240779065849
mu0_true,0.127164151846466,0.209659005743357
sigma0,0.393357912724353,0.141673095315974
beta,1.15359778934747,0.0616598055544076
R1_K[1],1.14018306292724,0.085160816480318
R1_K[2],0.369653760561199,0.0849720982458325
R1_K[3],0.259655638388257,0.0405234735034351
mu0_true,0.0753573583257736,0.201148922422305
sigma0,0.531314296101064,0.145237507588153
beta,1.29446349518077,0.0594930759836413
R1_K[1],1.02584640976876,0.0685450175560587
R1_K[2],0.236775424131942,0.0505187018734108
R1_K[3],0.186211153107335,0.0303721295090764
mu0_true,0.302254526040678,0.208038820449133
sigma0,0.640474792868687,0.181944473540587
beta,1.2092174123476,0.0455988864377812
R1_K[1],1.0265609801145,0.0556113405979866
R1_K[2],0.258167094983233,0.0468551147215373
R1_K[3],0.183442507609229,0.0328915984865123
mu0_true,0.127284157186122,0.2644230573939
sigma0,0.722464180575442,0.258758712103817
beta,1.24233001292532,0.058765368217626
R1_K[1],0.993560531747758,0.0706949832904391
R1_K[2],0.343627337313925,0.0540261798889404
R1_K[3],0.182302447366862,0.0320544465027793
mu0_true,0.176656005126187,0.295205277068944
sigma0,0.41615721515292,0.137950056254828
beta,1.23537549029189,0.0539168350237169
R1_K[1],1.01335405722304,0.063987937515119
R1_K[2],0.307271771894501,0.074896540920349
R1_K[3],0.211688341943965,0.0388851844157285
mu0_true,0.347849384532932,0.186239289088766
sigma0,0.464722054488149,0.145726869025694
beta,1.17669735018043,0.0653374966446735
R1_K[1],1.04495386256472,0.0918642023558905
R1_K[2],0.314500143966856,0.0637194728531283
R1_K[3],0.179282094653052,0.0447405663765931
mu0_true,0.152091171552283,0.209256701568346
sigma0,0.432741639836578,0.133913933456251
beta,1.18489816830572,0.048397441091543
R1_K[1],1.01818040139965,0.0673800014729348
R1_K[2],0.358845545891516,0.0638644390678761
R1_K[3],0.145331260197757,0.0289873824864986
mu0_true,-0.0257821376996557,0.18784277369437
sigma0,0.404702998401638,0.110759031029232
beta,1.23107536455918,0.0542264788937679
R1_K[1],1.03709796811516,0.0607128099750785
R1_K[2],0.304205879560675,0.0452949032968134
R1_K[3],0.117782320344059,0.0392283823662559
mu0_true,0.421101500861805,0.174652221692632
sigma0,0.590977066100779,0.185439405967246
beta,1.1237552072341,0.0553103647956243
R1_K[1],1.08719505384902,0.0797980204171878
R1_K[2],0.339590773223602,0.0775440173684016
R1_K[3],0.221220120793495,0.0505318228491884
mu0_true,-0.0553061954397329,0.245211204328439
sigma0,0.307161952242184,0.0992965698007473
beta,1.18375167356069,0.0472908976035893
R1_K[1],1.0123281973113,0.0595369811227271
R1_K[2],0.251860082426933,0.0537151661779908
R1_K[3],0.229602138022885,0.0311770839776147
mu0_true,-0.0790639011478884,0.158363585550954
sigma0,0.400693568547524,0.1244780857783
beta,1.14872931335651,0.0533454633211224
R1_K[1],1.03863977300101,0.0737329483717511
R1_K[2],0.327193172671183,0.0675226361272871
R1_K[3],0.206799550123359,0.0399935593683171
mu0_true,0.240101154249851,0.193366201021272
sigma0,0.378467342768149,0.118874368691018
beta,1.15146182360703,0.0510040305973414
R1_K[1],1.11285606226052,0.0695908966942083
R1_K[2],0.423560865350148,0.0568017205087641
R1_K[3],0.189628869217313,0.0302882385464754
mu0_true,-0.0852093048241703,0.187167635310575
sigma0,0.328230277400326,0.119175977448981
beta,1.18410127904346,0.0557482123284879
R1_K[1],0.964452184210388,0.071396096980641
R1_K[2],0.438783142966168,0.0753315096044755
R1_K[3],0.202172071895105,0.0464667766289639
mu0_true,-0.0853351114003995,0.200507786095452
sigma0,0.518362837567783,0.167388188994955
beta,1.12807953028243,0.0696884701909239
R1_K[1],1.05819807378722,0.0897663976703118
R1_K[2],0.392168275315835,0.107175361985409
R1_K[3],0.287255991571185,0.0517678125611138
mu0_true,0.0561838877357826,0.252455562977594
sigma0,0.530094985868197,0.199704950657295
beta,1.1759003758454,0.0736937999333759
R1_K[1],0.928562132007339,0.0965167445773284
R1_K[2],0.253791081349192,0.0817699369909447
R1_K[3],0.120842850627345,0.041920676860812
mu0_true,0.609755828743555,0.251343983041499
sigma0,0.562894693449524,0.190690157082714
beta,1.18759062439437,0.067051431937541
R1_K[1],0.99663405736186,0.096666568943444
R1_K[2],0.350770694971205,0.0819523155736473
R1_K[3],0.227560108062165,0.0435221853692092
mu0_true,0.148737118086548,0.245959188262026
sigma0,0.735780473952693,0.204099228488291
beta,1.09059057553249,0.0574165204386653
R1_K[1],1.0245468204348,0.0928205343607204
R1_K[2],0.414733909231155,0.0821688774132038
R1_K[3],0.259196224688043,0.0569829302590486
mu0_true,-0.193533244923621,0.306836980090138
sigma0,0.483079193763546,0.160424583400409
beta,1.16591885129943,0.0633320911432717
R1_K[1],1.02367547732382,0.0839667263509809
R1_K[2],0.347761385488688,0.0717148937891777
R1_K[3],0.241519285379008,0.0470677935100389
mu0_true,0.316276069935195,0.226739145159746
sigma0,0.652929432360669,0.212652695530659
beta,1.12705640888696,0.058767949974212
R1_K[1],1.0435276364556,0.0941216878194114
R1_K[2],0.290977003498273,0.0724277093444428
R1_K[3],0.198007939711376,0.0508361507389402
mu0_true,0.152369416445439,0.252305524287368
sigma0,0.918195298077708,0.297174364478904
beta,1.22890482387655,0.0527567504767647
R1_K[1],0.974763657442466,0.0618319861174597
R1_K[2],0.312188757926021,0.0586384766309623
R1_K[3],0.237416112730918,0.0361371068184439
mu0_true,0.42448299772786,0.326231105268029
sigma0,0.584879384200816,0.191487491510695
beta,1.26008111341486,0.0654887211127047
R1_K[1],0.887654825932111,0.0787705190882168
R1_K[2],0.381335616338304,0.086037371082177
R1_K[3],0.123860945527415,0.0410912962871913
mu0_true,0.377359013496297,0.23344055262523
sigma0,0.61637609109571,0.210901311279823
beta,1.14295643174496,0.0607184306299007
R1_K[1],1.10572011122699,0.100570302057502
R1_K[2],0.354686724487117,0.0766058249500865
R1_K[3],0.30051026970687,0.048582280227071
mu0_true,-0.0183981794933845,0.283253354455115
sigma0,0.380810227631156,0.124052727468581
beta,1.15035487560482,0.0557834263747273
