term,estimate,std.error,D,sim_scenaio
sigma0,0.598625427465688,0.223345455598944,10,PLP_sim_for_JPLP
beta,1.00259267389192,0.0851803489284161,10,PLP_sim_for_JPLP
R1_K[1],1.16329794089549,0.153426846882909,10,PLP_sim_for_JPLP
R1_K[2],0.273533936496954,0.112821984610519,10,PLP_sim_for_JPLP
R1_K[3],0.275969011996422,0.0757332781459637,10,PLP_sim_for_JPLP
mu0_true,0.283650307107434,0.343871803869049,10,PLP_sim_for_JPLP
sigma0,0.729065111961823,0.20624667857869,10,PLP_sim_for_JPLP
beta,1.00146052132019,0.0485021107727763,10,PLP_sim_for_JPLP
R1_K[1],1.13116336588484,0.0864417118108814,10,PLP_sim_for_JPLP
R1_K[2],0.474336735515478,0.103965980691337,10,PLP_sim_for_JPLP
R1_K[3],0.29572421015998,0.0575795095146659,10,PLP_sim_for_JPLP
mu0_true,-0.0100250114141815,0.286214306427317,10,PLP_sim_for_JPLP
sigma0,0.550438410246654,0.205782442182781,10,PLP_sim_for_JPLP
beta,0.957857717250787,0.0719530350062161,10,PLP_sim_for_JPLP
R1_K[1],1.33728827265816,0.152504735918023,10,PLP_sim_for_JPLP
R1_K[2],0.165025373193366,0.0982556010171809,10,PLP_sim_for_JPLP
R1_K[3],0.340489483723833,0.0801524208878994,10,PLP_sim_for_JPLP
mu0_true,0.0701928190902926,0.295575706663219,10,PLP_sim_for_JPLP
sigma0,1.01604068272694,0.278037454179701,10,PLP_sim_for_JPLP
beta,1.00298700079951,0.0556195060974313,10,PLP_sim_for_JPLP
R1_K[1],1.11692059562561,0.0854273744322439,10,PLP_sim_for_JPLP
R1_K[2],0.361710944475825,0.11156396085215,10,PLP_sim_for_JPLP
R1_K[3],0.345286912805743,0.0626183211762392,10,PLP_sim_for_JPLP
mu0_true,0.0647359018593585,0.368631326443758,10,PLP_sim_for_JPLP
sigma0,0.404330890672355,0.14466854951746,10,PLP_sim_for_JPLP
beta,1.03009683935874,0.0487416145875635,10,PLP_sim_for_JPLP
R1_K[1],1.14080947277096,0.0728016011854986,10,PLP_sim_for_JPLP
R1_K[2],0.273191308283344,0.0679328973085725,10,PLP_sim_for_JPLP
R1_K[3],0.249634394224639,0.0403116968292142,10,PLP_sim_for_JPLP
mu0_true,-0.0159401455649011,0.219606794284181,10,PLP_sim_for_JPLP
sigma0,1.1661471260994,0.33796084936315,10,PLP_sim_for_JPLP
beta,0.978669168148768,0.0443265492502236,10,PLP_sim_for_JPLP
R1_K[1],1.23575621429948,0.095044252127465,10,PLP_sim_for_JPLP
R1_K[2],0.118366557891333,0.0691645787716781,10,PLP_sim_for_JPLP
R1_K[3],0.239217306231969,0.0506526227191645,10,PLP_sim_for_JPLP
mu0_true,0.127522024418279,0.420131579368913,10,PLP_sim_for_JPLP
sigma0,0.680449083489596,0.222925143520123,10,PLP_sim_for_JPLP
beta,1.14587047910562,0.0942492773093161,10,PLP_sim_for_JPLP
R1_K[1],0.99363686023072,0.124590196472454,10,PLP_sim_for_JPLP
R1_K[2],0.169965375365599,0.076816610214696,10,PLP_sim_for_JPLP
R1_K[3],0.228077146401764,0.0701231499896186,10,PLP_sim_for_JPLP
mu0_true,0.755889532173311,0.315209025529583,10,PLP_sim_for_JPLP
sigma0,0.879577674480979,0.283087745257391,10,PLP_sim_for_JPLP
beta,0.966968471967932,0.0590544689915032,10,PLP_sim_for_JPLP
R1_K[1],1.30105883179209,0.119916107896566,10,PLP_sim_for_JPLP
R1_K[2],0.339489097561358,0.122573810928212,10,PLP_sim_for_JPLP
R1_K[3],0.219656067131765,0.059646168338596,10,PLP_sim_for_JPLP
mu0_true,0.21876903900616,0.323248137846599,10,PLP_sim_for_JPLP
sigma0,0.479528306568467,0.157409720294273,10,PLP_sim_for_JPLP
beta,0.993684603024632,0.0487221558767486,10,PLP_sim_for_JPLP
R1_K[1],1.28326872718426,0.101860585790471,10,PLP_sim_for_JPLP
R1_K[2],0.285509799451341,0.0884256404924357,10,PLP_sim_for_JPLP
R1_K[3],0.236488591373404,0.0404761955820268,10,PLP_sim_for_JPLP
mu0_true,-0.151079527149871,0.236124073854607,10,PLP_sim_for_JPLP
sigma0,0.319215831559637,0.135755695422607,10,PLP_sim_for_JPLP
beta,1.00808665638441,0.0717348748698125,10,PLP_sim_for_JPLP
R1_K[1],1.22344831910017,0.120283886555726,10,PLP_sim_for_JPLP
R1_K[2],0.0750125278632681,0.102776590276964,10,PLP_sim_for_JPLP
R1_K[3],0.469300299459593,0.0879928320026762,10,PLP_sim_for_JPLP
mu0_true,0.246488520289787,0.253576191887779,10,PLP_sim_for_JPLP
sigma0,0.641635996264432,0.230999222356926,10,PLP_sim_for_JPLP
beta,1.0494994859201,0.0646590491161782,10,PLP_sim_for_JPLP
R1_K[1],1.12160442234071,0.11026794066456,10,PLP_sim_for_JPLP
R1_K[2],0.302462236183182,0.0817631504670315,10,PLP_sim_for_JPLP
R1_K[3],0.336463241836544,0.0621532222476588,10,PLP_sim_for_JPLP
mu0_true,0.0525625591734509,0.293374461977508,10,PLP_sim_for_JPLP
sigma0,0.462275337571174,0.192530128643723,10,PLP_sim_for_JPLP
beta,1.0234911162611,0.0709874564738378,10,PLP_sim_for_JPLP
R1_K[1],1.31423812155382,0.131219333780529,10,PLP_sim_for_JPLP
R1_K[2],0.576589088096754,0.18446354488711,10,PLP_sim_for_JPLP
R1_K[3],0.224399637715402,0.0817523971763068,10,PLP_sim_for_JPLP
