term,estimate,std.error
sigma0,0.529819124637127,0.136021221779886
beta,1.06139867252942,0.02495935741938
R1_K[1],1.1564211351902,0.0342474697533312
R1_K[2],0.372352850752201,0.037678607511229
R1_K[3],0.216715542203564,0.0182752173951379
mu0_true,0.217941720391535,0.192966104951343
sigma0,0.606303896049648,0.0555649338564446
beta,1.01578851081295,0.0174866690436751
R1_K[1],1.19951550372454,0.0336940123861114
R1_K[2],0.327903353490751,0.028022129044498
R1_K[3],0.241188194188038,0.015933744465067
mu0_true,0.145930848181827,0.0871037900993676
sigma0,0.684389222567114,0.0575354704418066
beta,1.02739112619458,0.0181306019809973
R1_K[1],1.19655414457143,0.031485903010074
R1_K[2],0.346888835583842,0.0247998668657705
R1_K[3],0.23456186449447,0.0142795312127069
mu0_true,0.174251314060626,0.0889753706658394
sigma0,0.616603852385865,0.0502387357765972
beta,1.03197395537312,0.01632103519047
R1_K[1],1.19090623697575,0.0275338049640465
R1_K[2],0.366673882769903,0.0277032732717669
R1_K[3],0.27442410687003,0.0160659220012411
mu0_true,-0.0615188673416573,0.0910400843958676
sigma0,0.596091246739834,0.0531792631671284
beta,1.04992531911803,0.0167749476502131
R1_K[1],1.13485255276933,0.0280206773333078
R1_K[2],0.410656938045377,0.0271916301081713
R1_K[3],0.225812495804293,0.0157161713766948
mu0_true,0.114389655454823,0.0829053203042276
sigma0,0.594302265507349,0.0526053804626275
beta,1.03104540109976,0.0172399991601822
R1_K[1],1.16599805915173,0.0271228316625752
R1_K[2],0.308886161950282,0.0225807645203008
R1_K[3],0.209744213041329,0.0136587753015749
mu0_true,0.191078293673266,0.0826844906790184
sigma0,0.571141850923501,0.0500915134075853
beta,1.02095882545231,0.0185285807098378
R1_K[1],1.15354459286729,0.0323201719119173
R1_K[2],0.365393545036998,0.0295409332355706
R1_K[3],0.228068698564725,0.0172877590947951
mu0_true,0.208944680360422,0.0870996932768414
sigma0,0.571141850923501,0.0500915134075853
beta,1.02095882545231,0.0185285807098378
R1_K[1],1.15354459286729,0.0323201719119173
R1_K[2],0.365393545036998,0.0295409332355706
R1_K[3],0.228068698564725,0.0172877590947951
mu0_true,0.208944680360422,0.0870996932768414
sigma0,0.577494174326659,0.0463920580950824
beta,1.03072715340698,0.0169121337736483
R1_K[1],1.12420145699662,0.0288420489837728
R1_K[2],0.391245720373044,0.0290457621374775
R1_K[3],0.243706522126523,0.0160084506121855
mu0_true,0.162389692194665,0.076085387506405
sigma0,0.54005368515987,0.0495420332093244
beta,1.0179766143013,0.0165410154707005
R1_K[1],1.17091820780739,0.0278682384237889
R1_K[2],0.339980051583263,0.0256387296887513
R1_K[3],0.223017873559982,0.0149115392247468
mu0_true,0.169030052385516,0.0727433675695298
sigma0,0.625993536881703,0.0527605790532302
beta,1.02309904109483,0.0159054997009513
R1_K[1],1.23077015399624,0.0299213740761994
R1_K[2],0.310558259378434,0.0275711465262521
R1_K[3],0.272532303200371,0.0184489030396766
mu0_true,0.10633212787735,0.0826530444989288
sigma0,0.616749067340483,0.0557212098376015
beta,1.01759234659589,0.0174911033336663
R1_K[1],1.17175860114039,0.0296041510208397
R1_K[2],0.357500681686617,0.0254695199480426
R1_K[3],0.226573031913688,0.0157767786925542
mu0_true,0.130187559023231,0.0806673592102944
