term,estimate,std.error
sigma0,0.560163646309372,0.0645066257618253
beta,0.979473623104976,0.0251099774883929
R1_K[1],1.23496516006065,0.0479527396556041
R1_K[2],0.373221178764413,0.0418373240002332
R1_K[3],0.215672277719787,0.0217852841599868
mu0_true,0.107997450815279,0.119211732060435
sigma0,0.656531968658978,0.0830449323446172
beta,1.01385381048128,0.0272960560233162
R1_K[1],1.15864097120081,0.0435441044673027
R1_K[2],0.348457482636495,0.0481017072871073
R1_K[3],0.228285744900584,0.0271734614507959
mu0_true,0.346885001078894,0.13554515555445
sigma0,0.595881167645058,0.0714329759015652
beta,0.99345943667677,0.0250894459435123
R1_K[1],1.13328892252889,0.0420149436190364
R1_K[2],0.293350849423294,0.033799503690279
R1_K[3],0.243582661911933,0.0231935391342565
mu0_true,-0.0743934843605944,0.115482834608735
sigma0,0.66647689124443,0.0851152870663684
beta,1.01826033868634,0.0226955769150566
R1_K[1],1.21733869820454,0.0416050155534163
R1_K[2],0.390145978233215,0.0403020659187659
R1_K[3],0.246560087349842,0.0193941442045464
mu0_true,0.0398312817647325,0.12200597052497
sigma0,0.553125564874488,0.0684529596620847
beta,0.982237867125375,0.0285958730134487
R1_K[1],1.30794810329413,0.0496874094345841
R1_K[2],0.340846703628737,0.0415886685899682
R1_K[3],0.266417698544647,0.0245012526269417
mu0_true,0.0630778140508049,0.119575902779763
sigma0,0.559560653780882,0.0698344471583593
beta,1.01411468955651,0.0260601075473745
R1_K[1],1.09891595154801,0.040867312709057
R1_K[2],0.366372106802585,0.0365055628705007
R1_K[3],0.20448439311487,0.0256906186768557
mu0_true,0.159526933442606,0.113410659041078
sigma0,0.46510344473474,0.0604659969140512
beta,1.0429049250372,0.0265501267996542
R1_K[1],1.0838360728081,0.0416513187166893
R1_K[2],0.404765877414719,0.0391210299059843
R1_K[3],0.257663887073075,0.021600170732244
mu0_true,0.144902484329105,0.102259170102327
sigma0,0.600266345960792,0.0709538379238572
beta,1.01522877983006,0.0234326606533557
R1_K[1],1.19283262616848,0.0454227106270715
R1_K[2],0.300116886336626,0.0363355956800517
R1_K[3],0.214687957512798,0.0207312159530182
mu0_true,0.180884051872895,0.113809692063296
sigma0,0.604299820666459,0.0720822061645736
beta,1.01279424694878,0.0219282102451608
R1_K[1],1.12766905757191,0.035602335967938
R1_K[2],0.349890295533118,0.0334369802427583
R1_K[3],0.208307184334449,0.0214377757462734
mu0_true,0.117242590324889,0.112157475110631
sigma0,0.534086686597603,0.0696554404892749
beta,1.05253066904717,0.0238303034598253
R1_K[1],1.0958564115042,0.0386003127158399
R1_K[2],0.395575829709431,0.0371923594463801
R1_K[3],0.207292881949914,0.0208110255205027
mu0_true,0.0626674994863305,0.101948846932127
sigma0,0.5100361455973,0.0680249179274603
beta,1.03774574582824,0.0286261144896055
R1_K[1],1.23006502131684,0.0508759084526568
R1_K[2],0.322373260188445,0.0376168923221396
R1_K[3],0.269389707149669,0.0237096006149114
mu0_true,0.182263348353659,0.112940974503162
sigma0,0.544013201809645,0.0682999358371278
beta,1.03207706081783,0.0277268317267878
R1_K[1],1.16083530477051,0.0479952502361886
R1_K[2],0.377642848405336,0.0404487590140474
R1_K[3],0.270304018758235,0.024546023205812
mu0_true,0.174956373614577,0.114632927972124
sigma0,0.638959877728264,0.0802874436593972
beta,1.01920753144401,0.0309316938638087
R1_K[1],1.17313513449022,0.0514016530615041
R1_K[2],0.344208160091601,0.0427680919626999
R1_K[3],0.223755273826106,0.0260051964544856
mu0_true,0.370870945645554,0.12535461093693
sigma0,0.634763255692529,0.0834420355863075
beta,1.02514242438019,0.0320027770874894
R1_K[1],1.17078981697167,0.0522195770844206
R1_K[2],0.403285572080079,0.0340471651179107
R1_K[3],0.205062035062661,0.0254137958524926
mu0_true,0.21460918638464,0.126124071969442
sigma0,0.644957864138572,0.0775070934914675
beta,1.04004012712197,0.0224147293098072
R1_K[1],1.14161399674343,0.0338935148676959
R1_K[2],0.374176392036913,0.03074910211611
R1_K[3],0.217886024767276,0.0179853595534972
mu0_true,-0.0165345341911941,0.114574337679066
sigma0,0.564399354414703,0.0695306969726801
beta,1.01635623457726,0.0208919597176538
R1_K[1],1.21129860655531,0.0351600198669139
R1_K[2],0.318787925446138,0.0325027298709762
R1_K[3],0.244882652005624,0.0206858233305911
mu0_true,0.0906463465013362,0.0995819928486345
sigma0,0.678653696875604,0.0902296074373345
beta,0.984193497689434,0.0260417256205181
R1_K[1],1.19740464864173,0.0496869922647282
R1_K[2],0.309905339342914,0.0351156810649535
R1_K[3],0.198986141325727,0.0223138847290446
mu0_true,0.314862868692024,0.135347175967115
sigma0,0.564047531827402,0.0690936411260129
beta,1.04789428073757,0.0242015784212333
R1_K[1],1.09816636415519,0.036834416422108
R1_K[2],0.31313195533913,0.0356154638455884
R1_K[3],0.219829014055773,0.021755392893723
mu0_true,0.112352462887052,0.111083783917839
sigma0,0.475894578840012,0.0578639070483596
beta,1.03639104961436,0.0262291687324135
R1_K[1],1.10764920848861,0.0403681408263674
R1_K[2],0.37823173643707,0.0349033189589565
R1_K[3],0.230560227582804,0.0207956031614623
mu0_true,0.111949801849535,0.107034281920174
sigma0,0.475894578840012,0.0578639070483596
beta,1.03639104961436,0.0262291687324135
R1_K[1],1.10764920848861,0.0403681408263674
R1_K[2],0.37823173643707,0.0349033189589565
R1_K[3],0.230560227582804,0.0207956031614623
mu0_true,0.111949801849535,0.107034281920174
sigma0,0.467561784911388,0.063005728342865
beta,0.976487713381982,0.0248146431055043
R1_K[1],1.12949496495829,0.0454069581229071
R1_K[2],0.405319384541143,0.0392676335377253
R1_K[3],0.226108814880697,0.0256334575710223
mu0_true,0.00676889023739262,0.110440680921709
sigma0,0.570733932177519,0.0714837128666537
beta,1.03111288109812,0.0268884622242163
R1_K[1],1.16229224041474,0.0431239883460658
R1_K[2],0.360435941502952,0.0392241487642332
R1_K[3],0.251891245917626,0.0239834670095922
mu0_true,0.123148405996182,0.12100869272034
sigma0,0.659446829908757,0.0859848345866831
beta,1.01897950302335,0.0229409020584669
R1_K[1],1.25454074314037,0.0395874366660112
R1_K[2],0.332043610290801,0.0360396751967879
R1_K[3],0.223874239622072,0.021446246152734
mu0_true,0.106085422250298,0.12107832513745
sigma0,0.568710084582894,0.0726546772421691
beta,1.01510911892196,0.0259877305716359
R1_K[1],1.19742469461348,0.0450292435647595
R1_K[2],0.428077035644475,0.0483183756122897
R1_K[3],0.25772221007781,0.0242310339483906
mu0_true,0.137561981318113,0.112518350567215
sigma0,0.546033784853825,0.0655587707909895
beta,1.04186799758635,0.0270096580207977
R1_K[1],1.14781553983366,0.0429922504725187
R1_K[2],0.349132367702658,0.0396057927351524
R1_K[3],0.243168694974041,0.0213978864055623
mu0_true,0.154587581929995,0.108786650090829
sigma0,0.493770477823611,0.059286510409677
beta,1.02071931071112,0.0244571820712645
R1_K[1],1.17448267991598,0.0405547222479332
R1_K[2],0.343573240962182,0.0354925673881189
R1_K[3],0.222832694781358,0.0202686651186261
mu0_true,0.0570742514884587,0.0999008755429899
sigma0,0.610323015627859,0.0752368612689419
beta,0.992894593215946,0.022439822498832
R1_K[1],1.23203809649409,0.0397091586263293
R1_K[2],0.419856665926128,0.0428871772059381
R1_K[3],0.234996080845144,0.0225625599824149
mu0_true,-0.060444786628248,0.119277310328066
sigma0,0.70695889109197,0.0892732187228628
beta,1.01101959030076,0.0285993101629033
R1_K[1],1.22136472953919,0.0480791099740385
R1_K[2],0.362532987373913,0.0387072861898646
R1_K[3],0.226424466279277,0.0252575257479097
mu0_true,0.138883620219981,0.129590009433004
sigma0,0.701870486924199,0.0732651341411271
beta,1.00889358165418,0.0243491880337342
R1_K[1],1.15594841087437,0.042085352948241
