term,estimate,std.error
beta,1.54362545348506,0.0334118548219012
mu0,0.518628589545082,0.079713363338622
sigma0,0.386653601014862,0.0528891998312944
beta,1.58989120773724,0.0423973258065152
mu0,0.705321940847672,0.0688240350508055
sigma0,0.297375683224085,0.0362172402563517
beta,1.48306497142373,0.0313068050909651
mu0,0.431673402352504,0.0806554707624354
sigma0,0.434582025572794,0.0556374522413824
beta,1.4953777014193,0.0283559627695486
mu0,0.392167884800261,0.078100888497217
sigma0,0.387039229747854,0.0438327951323007
beta,1.53382357922949,0.0245927174438029
mu0,0.421110374782803,0.081243499125794
sigma0,0.470827240670515,0.0568766123467311
beta,1.43071012770351,0.0305106739712589
mu0,0.609308075899188,0.0775420333016088
sigma0,0.448149784727354,0.0431911636281372
beta,1.47540608285671,0.031179105989878
mu0,0.420690246176055,0.0804837130898724
sigma0,0.420578373321669,0.0451272653049692
beta,1.50946640127528,0.0275701194040664
mu0,0.479931297602375,0.0775892907276956
sigma0,0.476512739406107,0.0625198760539464
beta,1.39767615698505,0.0276806083682155
mu0,0.4534319132499,0.0974969876474602
sigma0,0.577933545980374,0.0600044721859283
beta,1.492554980278,0.0350316270499221
mu0,0.526180960616578,0.0814130232586443
sigma0,0.431246774629119,0.0450581166310911
beta,1.4638517602632,0.0267710101097525
mu0,0.48571785414798,0.0819773147709174
sigma0,0.505736561142466,0.0537977084253614
beta,1.46279922485611,0.0290160777313563
mu0,0.401578339766085,0.0853018256805822
sigma0,0.459979870801928,0.0429101198089865
beta,1.45054956021501,0.0323781248756892
mu0,0.553278498149832,0.0793154144053302
sigma0,0.435146804231529,0.0464510706591449
beta,1.45656693330616,0.0272397124892832
mu0,0.306630551355996,0.0731130640118544
sigma0,0.391997893326847,0.0411047703652537
beta,1.49219149757639,0.0267566581371267
mu0,0.459372310380869,0.0688083315856986
sigma0,0.390928475246753,0.0347392984516871
beta,1.53104354607516,0.035153378639005
mu0,0.478108478149507,0.0760353810972876
sigma0,0.348209536004294,0.0400314257606164
beta,1.4432763790146,0.0286071349331183
mu0,0.434138787985349,0.0828618214800992
sigma0,0.456182871264791,0.0507175291943472
beta,1.4540878404915,0.0375453603710276
mu0,0.646683318764495,0.0685735064059518
sigma0,0.341482739275108,0.060028324438036
beta,1.43500304014411,0.0369930139233623
mu0,0.440619674405763,0.0818703529900443
sigma0,0.377043476684581,0.0530456672091197
beta,1.46214978494975,0.0278174387308399
mu0,0.501603460412059,0.0764638545797666
sigma0,0.451214993983777,0.0417042351854545
beta,1.49697701039378,0.0309374720043641
