term,estimate,std.error
sigma0,0.415218515711128,0.0446736628257741
beta,1.49671040864294,0.0217451752287483
R1_K[1],0.973721561075856,0.0202609721395786
R1_K[2],0.279262209036116,0.0195493797718507
R1_K[3],0.169328882904322,0.0106061454084352
mu0_true,0.156105296607618,0.0716322952038463
sigma0,0.495377970597591,0.0560368592373888
beta,1.49814625852326,0.0214461047237027
R1_K[1],0.954111361893633,0.0213433332422086
R1_K[2],0.294973168839627,0.0184596552158689
R1_K[3],0.181548385397609,0.0109580579173466
mu0_true,0.227697705913795,0.0751573759685135
sigma0,0.590091949180165,0.0675571001781474
beta,1.51147033810374,0.0227932392775947
R1_K[1],0.955343846842936,0.0181020058618736
R1_K[2],0.299548318557778,0.0195381694784962
R1_K[3],0.212760193783656,0.0121374534380098
mu0_true,0.196780496640504,0.0925487523069692
sigma0,0.489413403166201,0.0504595013063888
beta,1.53187193649203,0.0208052873705274
R1_K[1],0.93650231340303,0.018387434776049
R1_K[2],0.279221502494988,0.0170739246631656
R1_K[3],0.174414862041843,0.0107267153436774
mu0_true,0.219169786375339,0.0854575268399313
sigma0,0.54241047800669,0.0616712499947402
beta,1.51828920345366,0.0194564379196695
R1_K[1],0.956567206117357,0.0183978420913086
R1_K[2],0.279200610599042,0.0197515879737576
R1_K[3],0.18171293618525,0.00928050161381128
mu0_true,0.151557311195662,0.0921049976299891
sigma0,0.579003013318391,0.0638406780637059
beta,1.46660359604554,0.0223160762086809
R1_K[1],0.963161892608356,0.0211295231189189
R1_K[2],0.294205386726725,0.020415211121008
R1_K[3],0.194762141431073,0.0110323174519437
mu0_true,0.165463108032126,0.0880572227706656
sigma0,0.42832489102937,0.0494235678166519
beta,1.52723332251061,0.0257663078980378
R1_K[1],0.92194194744099,0.0237247722255694
R1_K[2],0.315418217484593,0.0227253269066684
R1_K[3],0.16800467220319,0.0125351953764208
mu0_true,0.305440762629499,0.0719003729353818
sigma0,0.43170640089556,0.0507573651275596
beta,1.52902656079119,0.0251771659004407
R1_K[1],0.915592879672391,0.0217083853981006
R1_K[2],0.292343614503626,0.0174529476005994
R1_K[3],0.169783339203995,0.0114550554705578
mu0_true,0.214736224114936,0.0738545918553797
sigma0,0.444667335265003,0.0489541516587492
beta,1.51595619498877,0.0210145430629225
R1_K[1],0.96567223174036,0.0217601522663133
R1_K[2],0.31377779370024,0.0184229859463567
R1_K[3],0.196365780892562,0.0105256169760491
mu0_true,0.0983259729920921,0.0804763315695134
sigma0,0.402469280070883,0.0477739736360859
beta,1.54133874341028,0.0246831264099874
R1_K[1],0.919038257196865,0.0238805718486304
R1_K[2],0.253643749944106,0.0240488713199876
R1_K[3],0.184906810958387,0.0131196296702317
mu0_true,0.266349742434978,0.0748069956728053
sigma0,0.54737568522699,0.0605597907008277
beta,1.49359938316146,0.0201889735716842
R1_K[1],0.962101120857668,0.0198616226162398
R1_K[2],0.279754158523852,0.0179433926615377
R1_K[3],0.192554052932582,0.00938002840034455
mu0_true,0.125931993787452,0.0844285165423034
sigma0,0.449884556517952,0.0503415702134994
beta,1.54746492628537,0.0227597111360221
R1_K[1],0.92681139706723,0.0187628467437324
R1_K[2],0.286996430844687,0.0209845655465036
R1_K[3],0.188574908603485,0.0100865598857542
mu0_true,0.215266817372687,0.0786114368900796
sigma0,0.494870754121502,0.053981710771131
beta,1.51585127040605,0.0232694872386748
R1_K[1],0.937286384031837,0.0217432343843627
R1_K[2],0.251674477090947,0.0189769396146588
R1_K[3],0.187231357193213,0.00985339036484037
mu0_true,0.215587334634065,0.0798503194900007
sigma0,0.4481507837882,0.0502620033291096
beta,1.49310335812786,0.0236235574700392
R1_K[1],0.930938586022444,0.0239365787803594
R1_K[2],0.309091761578181,0.0200940761316497
R1_K[3],0.181935299898932,0.0100086276447936
mu0_true,0.190890413236327,0.0759830039312966
sigma0,0.504348330772058,0.0595833336260468
beta,1.51346028044359,0.0250135122098965
R1_K[1],0.932408502738603,0.0230155396361729
R1_K[2],0.289956503536247,0.0192167387638341
R1_K[3],0.193429063864375,0.0123146849545992
mu0_true,0.308057831698132,0.0840375090772148
sigma0,0.494340037981653,0.0567682660492117
beta,1.52094964673383,0.0228799744387143
R1_K[1],0.967657571701035,0.0231851807519223
R1_K[2],0.289690027998076,0.0210773125502492
R1_K[3],0.195561609159792,0.0101936114332421
mu0_true,0.184227239348433,0.0828953743665153
sigma0,0.416122053827016,0.0473403401215508
beta,1.52390805057903,0.0233027481845221
R1_K[1],0.930525890319742,0.0198433623733198
R1_K[2],0.274769434718443,0.0200640779920944
R1_K[3],0.176833678675316,0.0122465441358172
mu0_true,0.247670400104528,0.0770011300400883
sigma0,0.434254841389339,0.0460429504830657
beta,1.51893156155459,0.0239578260908928
R1_K[1],0.952093207422008,0.022545595836113
R1_K[2],0.292317852411314,0.0190536810443185
R1_K[3],0.192465460516099,0.0123019124844571
mu0_true,0.272613692842621,0.0709312884715162
sigma0,0.4276636137482,0.0503088861545146
beta,1.48848330764807,0.0273620804544796
R1_K[1],0.946661233933266,0.0280587765705567
R1_K[2],0.278275944029558,0.0207610473994186
R1_K[3],0.176554372910714,0.0122920625277496
mu0_true,0.330300586826898,0.0746873595978609
sigma0,0.496663358750927,0.0535885316541984
beta,1.54371736063529,0.0221018112695668
R1_K[1],0.922319058669058,0.0192048463255965
R1_K[2],0.257304973611578,0.0145297670084255
R1_K[3],0.170193313643886,0.00892332078575404
mu0_true,0.231159753510473,0.0819327534752345
sigma0,0.418090094200885,0.0462245354826873
beta,1.48764020595396,0.0275444555142841
R1_K[1],0.933292617642349,0.0283445441189034
R1_K[2],0.26386935375152,0.0184170671731728
R1_K[3],0.190771303940181,0.0117157093854226
mu0_true,0.146607218485695,0.0825560700280508
sigma0,0.454288343219862,0.0530054869985844
beta,1.49553842323336,0.0207304908643774
R1_K[1],0.967561095220447,0.0190690637537077
R1_K[2],0.295156397436908,0.017622003742477
R1_K[3],0.186628096969929,0.0118349002020468
mu0_true,0.194812968052386,0.0709385266585201
sigma0,0.460684938477394,0.0487962814420134
beta,1.49310480546839,0.0252820940155446
R1_K[1],0.934768582528653,0.0243784596117206
R1_K[2],0.256897492209128,0.0172401352141892
R1_K[3],0.183622957684588,0.0121664532156288
mu0_true,0.231243377985437,0.0818311125704892
sigma0,0.430698906094498,0.047751929306946
beta,1.51064163845675,0.0250627665368544
R1_K[1],0.939850036377816,0.0220908855449616
R1_K[2],0.249906550713944,0.0232717355830954
R1_K[3],0.190677104548701,0.010760111265005
mu0_true,0.248636330858599,0.0757467981286606
sigma0,0.463507790968233,0.0547343022720164
beta,1.48448229394213,0.0220714494053625
R1_K[1],0.930720626969978,0.022160870407383
R1_K[2],0.269130132333894,0.0167819001436033
R1_K[3],0.17946898606112,0.0108448634707037
mu0_true,0.106154094939845,0.0818774486923093
sigma0,0.489278441614006,0.0583856161957532
beta,1.46625950124283,0.0255710202451832
R1_K[1],0.949134122839589,0.0254122379484518
R1_K[2],0.315711988588754,0.0185674075836525
R1_K[3],0.190992511576551,0.0132017418183195
mu0_true,0.200137206454255,0.085638521540643
sigma0,0.662152089342009,0.0753849096854788
beta,1.47110107129429,0.0181094948855825
R1_K[1],0.971632601347399,0.0169027212215814
R1_K[2],0.280160101724709,0.016952386730397
R1_K[3],0.186276915212194,0.010957126556152
mu0_true,0.0806672571050082,0.103818813441221
sigma0,0.416690466621666,0.0501655991811575
beta,1.53432242810003,0.024682548944018
R1_K[1],0.920054639855927,0.0218356574031922
R1_K[2],0.261526377940533,0.0188005499970045
R1_K[3],0.186356337178118,0.00903620600267803
mu0_true,0.240734017872793,0.0750696909535628
sigma0,0.560623997360967,0.0608490103161948
beta,1.55325998440785,0.02438364487108
R1_K[1],0.889066307882676,0.0215317311483619
R1_K[2],0.250574070024468,0.0204688174391124
R1_K[3],0.194569449425198,0.0111400853458503
mu0_true,0.240666550965033,0.0927177199296194
