term,estimate,std.error
sigma0,0.50735487646213,0.082938002453064
beta,1.56598258509842,0.0352868250607612
R1_K[1],0.970176688084978,0.0329702698361062
R1_K[2],0.317137584070196,0.0281699799736946
R1_K[3],0.196585807449232,0.0160521636843131
mu0_true,0.206577662675895,0.11837944852515
sigma0,0.491330888645919,0.0727227726995337
beta,1.50837006334265,0.0270476363471362
R1_K[1],1.00624030645647,0.0276991577602023
R1_K[2],0.276429787742889,0.0246460178835109
R1_K[3],0.211895872194962,0.0134541277511414
mu0_true,0.119190097826667,0.101214664200566
sigma0,0.585802103674726,0.0920749689581282
beta,1.53409104199777,0.0319652108576762
R1_K[1],1.00091336920365,0.0292153608454424
R1_K[2],0.310476376154468,0.0240984027453561
R1_K[3],0.210672116858125,0.0146136356683237
mu0_true,0.319100967636976,0.134535560975514
sigma0,0.506392978703916,0.0842573461732192
beta,1.48361739024367,0.0332601197330874
R1_K[1],1.02010350231384,0.0344475576773057
R1_K[2],0.267908551370387,0.0279228655838542
R1_K[3],0.19725030856843,0.0153784037651816
mu0_true,0.186304739016215,0.11825820385418
sigma0,0.593452008050409,0.100882122161427
beta,1.51058040771641,0.0257231637429228
R1_K[1],0.985099688603979,0.0238051712475755
R1_K[2],0.291067228135683,0.0234142372058793
R1_K[3],0.204287190399029,0.0149113015610502
mu0_true,0.219329826158453,0.131198828005417
sigma0,0.532075930276676,0.0861388137297385
beta,1.48576358592682,0.0291722116379908
R1_K[1],0.996811113981014,0.0284287375161876
R1_K[2],0.309331841481588,0.0208611265541054
R1_K[3],0.218157133489165,0.0138458516279771
mu0_true,0.106014284309079,0.119842999273119
sigma0,0.392765801687961,0.0735791332946102
beta,1.45222633957587,0.0310737582918736
R1_K[1],1.08309087723142,0.033767616747508
R1_K[2],0.285711478391988,0.0280766046983135
R1_K[3],0.204940196425345,0.0153370343832295
mu0_true,0.0989513702512654,0.106524407032534
sigma0,0.339205844960682,0.0549983698696484
beta,1.50012115298953,0.0295392417535246
R1_K[1],1.02183348936951,0.030464561644233
R1_K[2],0.311502342355727,0.0255437875551368
R1_K[3],0.209012202108876,0.014318350640472
mu0_true,-0.0489655226074923,0.0941200823483573
sigma0,0.5971849746303,0.104055734688787
beta,1.54448621524937,0.0343846120872643
R1_K[1],0.948935607016152,0.0310697441028744
R1_K[2],0.317143373578116,0.0266343389859429
R1_K[3],0.227918924979881,0.0140613419465479
