term,estimate,std.error
beta,1.44669777105934,0.0177591675780784
mu0,0.466323909097846,0.0499405249505904
sigma0,0.463378195034339,0.0425209893821545
beta,1.48653824216978,0.0242028586682733
mu0,0.513758836375098,0.0558590786049711
sigma0,0.425929492564164,0.0362593327161588
beta,1.49731487442062,0.0219517530557628
mu0,0.35960202522477,0.0619614439674224
sigma0,0.400459163069785,0.0328831612394177
beta,1.51548479095461,0.023746044421687
mu0,0.567765894163599,0.0591222302180652
sigma0,0.44690271148302,0.0389852022374276
beta,1.51598753026347,0.0187036311410574
mu0,0.516009563709887,0.0505476771388066
sigma0,0.445398071249365,0.0321847676008675
beta,1.50320434341818,0.0232882562638569
mu0,0.489298040695875,0.057841221540073
sigma0,0.46284552687925,0.0381079096607014
beta,1.50112519688687,0.0225299044806231
mu0,0.432081308174207,0.0604927618647413
sigma0,0.436913901776167,0.0351217005987748
beta,1.46641680684837,0.0210185963441341
mu0,0.439389885074674,0.0531728581673503
sigma0,0.411015059305943,0.0306168045908857
beta,1.48643427703042,0.0216005011848876
mu0,0.461652382688484,0.0523210460714984
sigma0,0.367979916173967,0.0317927159753598
beta,1.50254324151459,0.0184637742256089
mu0,0.417378496703192,0.0628507231270125
sigma0,0.499279421586228,0.0397295549034003
beta,1.49238877429123,0.0190116218717093
mu0,0.399030021259605,0.0619968820537441
sigma0,0.528262535538982,0.038704330072566
beta,1.4802631519945,0.0215199523079328
mu0,0.479130721932915,0.0595176938654735
sigma0,0.395927355746922,0.033363837465042
beta,1.44983280824159,0.0179227288194074
mu0,0.414251487071816,0.0560587491912638
sigma0,0.469804065118294,0.0360038611456419
beta,1.50489061144736,0.0271471137868795
mu0,0.560348248430339,0.0465249465350515
sigma0,0.315989237480314,0.0247253534800449
beta,1.45006387894992,0.0227289227732988
mu0,0.509144205110656,0.0526615720442595
sigma0,0.333819664882935,0.0262036299217076
beta,1.5087218201756,0.0239028765523993
mu0,0.465414079656937,0.0467332133269583
sigma0,0.354220475323169,0.0256266090856173
beta,1.48936983900557,0.0268933535958621
mu0,0.635140719370347,0.0646778202334706
sigma0,0.384742431245738,0.0281151702170592
beta,1.5295915126,0.0190181013074269
mu0,0.476254363098039,0.057924184447908
sigma0,0.456261998464266,0.0355412088466073
beta,1.51274630781194,0.0210651844590696
mu0,0.575707595181952,0.0485251311433803
sigma0,0.381240194483607,0.0330334603093401
beta,1.48099134228222,0.0221333700177129
mu0,0.517177551855015,0.0518748937731541
sigma0,0.420694732434756,0.0355977353054449
beta,1.46865135346053,0.0185479405333657
mu0,0.46144432663733,0.0457780750414288
sigma0,0.422667949742283,0.0330401189534817
beta,1.48641964576888,0.0236873554354788
mu0,0.575948757476184,0.0553212426600865
sigma0,0.425145136925622,0.0377400461997426
beta,1.50555811811043,0.022346483632472
mu0,0.549523846819184,0.0519248396447465
sigma0,0.371071580685867,0.0256739671919188
beta,1.52738447397362,0.0152451153064523
mu0,0.456623960197937,0.054858872057691
sigma0,0.496891076670949,0.0429399766527505
beta,1.48161179373374,0.020202078181179
mu0,0.494916473387622,0.0566532438069127
sigma0,0.435475711346735,0.0317388968594082
beta,1.47528005837253,0.0184282871279591
mu0,0.43302714143251,0.0545145703918424
sigma0,0.446821624367493,0.0300108865159263
beta,1.49356340649077,0.0190843726528973
mu0,0.572014803663892,0.0517703773312975
sigma0,0.469124363404622,0.0407316367971521
beta,1.51666354917069,0.0200734127120674
mu0,0.46906738201638,0.0547766622670997
sigma0,0.451845176555157,0.0394258152053989
beta,1.50325692469078,0.0230079119668743
mu0,0.458864621267733,0.0519922972775364
sigma0,0.412005720742381,0.0309944572463774
beta,1.50579606629728,0.0225935514371556
mu0,0.611712991096104,0.0574271381683568
sigma0,0.42822298049371,0.0376755685151997
beta,1.49079015742282,0.0195376130895559
mu0,0.383956321414011,0.0525674977446986
sigma0,0.460831576458061,0.0385638931889942
beta,1.5378048500609,0.0257595121674767
mu0,0.630622441128056,0.0538760001485144
sigma0,0.38550782741618,0.0260781224943711
beta,1.47758052118804,0.0167313418957829
mu0,0.489822963529104,0.0515697590040797
sigma0,0.474544637800143,0.0318916234298639
beta,1.48922455787367,0.0195892758283918
mu0,0.421802424435053,0.0452958690555253
sigma0,0.411819661668509,0.0346938710977645
beta,1.46106867435011,0.021791955595922
mu0,0.536301289708895,0.0511361013087922
sigma0,0.376898641067305,0.0322111626258618
beta,1.50783101233529,0.0253652606843267
mu0,0.550395449090718,0.0549282957023246
sigma0,0.356329970413267,0.0275616889657133
beta,1.52431303217924,0.0278677394664897
mu0,0.601974375845027,0.0556969190263056
sigma0,0.352278159012914,0.0290156312707057
beta,1.51329663675874,0.0149398280197267
mu0,0.504182240003026,0.0515716731927005
sigma0,0.462588356349059,0.0337363770388912
beta,1.49344197403513,0.0226302071489164
mu0,0.602832010718924,0.0532760478650046
sigma0,0.420715242523597,0.0391831631083079
beta,1.50166273894012,0.0187089802339792
mu0,0.485798275909826,0.0555455902283829
sigma0,0.451991739123008,0.041423865497699
beta,1.4586203447326,0.0182604107978832
mu0,0.408504477220393,0.0584102408115677
sigma0,0.468413371766268,0.0344115314158926
beta,1.45053701556312,0.0238873617251005
mu0,0.424824312697076,0.0620040970534461
sigma0,0.458158767259077,0.0334597182838266
beta,1.50882002427934,0.0198823797983791
mu0,0.481320893619995,0.0525209172399189
sigma0,0.401487983354922,0.0332302655837535
beta,1.52608560417122,0.015904595276308
mu0,0.50908042071676,0.0591735778899521
sigma0,0.481400414450044,0.0416086128516079
beta,1.47709011506479,0.0171767298341736
mu0,0.530241429362591,0.0528558976610192
sigma0,0.446136984717945,0.0419528939383777
beta,1.47550410816742,0.0277121211198677
mu0,0.643017721314567,0.0581132903302727
sigma0,0.37225133100429,0.0306507844027309
beta,1.49546920864681,0.0218608402339929
mu0,0.350558043655875,0.0528880834333183
sigma0,0.391799311613364,0.0289311176207712
beta,1.51101280123471,0.0202702767352813
mu0,0.482151045497013,0.052780648824713
sigma0,0.418825080891147,0.0335899206734402
beta,1.49584030134908,0.0188330548148988
mu0,0.570472725458405,0.0599144434334347
sigma0,0.459694361814437,0.0357156973167559
beta,1.483522039853,0.0225325395022407
mu0,0.525986921050805,0.0483109436697488
sigma0,0.412389900420605,0.0318037913498991
beta,1.48640698485514,0.0219172649906085
mu0,0.492491022472698,0.0553923521212233
sigma0,0.430895994637583,0.0323728397574234
beta,1.52940854028708,0.0250691922840637
mu0,0.562352146058584,0.052238737362094
sigma0,0.363356214216654,0.0368196786523789
beta,1.50241609135386,0.0198968399614274
mu0,0.49144566748157,0.0563389325850311
sigma0,0.471122239145511,0.0371369115095927
beta,1.4989665040759,0.0275755007151698
mu0,0.582064404116488,0.0587069461212133
sigma0,0.403232119368265,0.0294690270807923
beta,1.49647889367905,0.0207528661298025
mu0,0.416793949165353,0.0584123149086784
sigma0,0.440182109827805,0.0324314670472228
beta,1.51942070424987,0.024314320740497
mu0,0.51597524899615,0.0524679499852973
sigma0,0.386132845205916,0.0287162741803626
beta,1.49378551113927,0.0206126555103262
mu0,0.457342029110519,0.0500083876239836
sigma0,0.40730779823897,0.0296235806811292
beta,1.48912158393398,0.0223262044413185
mu0,0.635518587627725,0.0476639365464726
sigma0,0.404324391136341,0.0322559966643856
beta,1.48011695863063,0.0242347361562816
mu0,0.513824970139569,0.0586042719815244
sigma0,0.40535271968731,0.0341890921899155
beta,1.48952971188711,0.0255832701106824
mu0,0.53359409209023,0.0622664130591752
sigma0,0.432367707963116,0.037066508865602
beta,1.52741194093575,0.0227563178305843
mu0,0.613105071475025,0.0601090323101812
sigma0,0.421802181900779,0.0387702688489367
beta,1.49925619962373,0.0207683406343465
mu0,0.402888950049731,0.0503901757392594
sigma0,0.350894174102122,0.0272459897484404
beta,1.44495156922906,0.0253243739446199
mu0,0.568217811815157,0.0558360638607112
sigma0,0.405680147222315,0.0342431651299616
beta,1.49689207656437,0.0229211776514364
mu0,0.450943975580673,0.0532674567782164
sigma0,0.39444968527922,0.027323384620039
beta,1.52909058276337,0.0244995585946183
mu0,0.49429486658503,0.0596561845628799
sigma0,0.405150461478653,0.036697196098346
beta,1.51715697330432,0.0291113167490428
mu0,0.64353792484106,0.0587299952454619
sigma0,0.414377629329864,0.0417100035544396
beta,1.50826212429901,0.0220862465391625
mu0,0.488317008653138,0.0599602809812192
sigma0,0.477563524949873,0.0412815262684674
beta,1.51155112620588,0.0177736214033814
mu0,0.49186073134634,0.0518162637683493
sigma0,0.422529382960521,0.03229409394103
beta,1.49088615001174,0.0183110303383449
mu0,0.461796122117965,0.0505070253783519
sigma0,0.40160692344132,0.0391990780242772
beta,1.52757104665633,0.0236373190546739
mu0,0.585886053810235,0.0523450577472771
sigma0,0.366097455655479,0.0303397646673195
beta,1.47930582222018,0.0196141505368044
mu0,0.516011350660119,0.0543707145006274
sigma0,0.418053938263916,0.0347281116292105
beta,1.48218889202804,0.0190938069415518
mu0,0.425179643913889,0.0493746269481314
sigma0,0.414624496221733,0.0285641280626676
beta,1.4665749274718,0.0215029344902373
mu0,0.520638471025215,0.0563143863078527
sigma0,0.431919260692616,0.0306013777883037
beta,1.50992545779175,0.0258948868384528
mu0,0.5534136842599,0.0554140725885818
sigma0,0.410848848797399,0.0347087563734578
beta,1.48109182433796,0.021622679558895
mu0,0.52907048957359,0.0551203285554746
sigma0,0.427667396570223,0.038494148503787
beta,1.52362202978043,0.0228337495283278
mu0,0.636846880272802,0.055271393945833
sigma0,0.406851194562267,0.0312314592715346
beta,1.48617167917862,0.0257806811826671
mu0,0.568463267400067,0.0607931619286605
sigma0,0.362129363712799,0.0267957151463386
beta,1.50146153987241,0.0167215749676278
mu0,0.467690919310445,0.0565797146578425
sigma0,0.441151274584003,0.0318956777724408
beta,1.45047875757159,0.0227544982218035
mu0,0.483507821931711,0.0514641513035179
sigma0,0.406952437805878,0.0332293735399039
beta,1.46306476506336,0.0213158882716183
mu0,0.38996448595607,0.0562250026783224
sigma0,0.414517184943147,0.0353048928557727
beta,1.48592054718364,0.0194509427256507
mu0,0.516307325026171,0.0622582237607585
sigma0,0.502777597357612,0.0344538460422552
beta,1.45104877654989,0.019602554020535
mu0,0.43602342743397,0.0578231025389945
sigma0,0.4626829460898,0.0346815643692482
beta,1.48515184666222,0.0204360517871852
mu0,0.478125158194225,0.0551920424522771
sigma0,0.430490466476887,0.0359171961875591
beta,1.49236958342104,0.0205543213919059
mu0,0.48044671906491,0.0563704282836356
sigma0,0.422296259781577,0.0340145840604109
beta,1.48694998975946,0.0199036474068601
mu0,0.444219406741451,0.0553490416010654
sigma0,0.446999677104682,0.0390447358137175
beta,1.45983262821343,0.0209985036562825
mu0,0.593858257282556,0.0556740048163008
sigma0,0.436799838025529,0.0378720660589667
beta,1.4812544530892,0.023943916566164
mu0,0.484441954426842,0.0525720793981258
sigma0,0.385434878118217,0.0340706963701339
beta,1.54891095376859,0.0236734792338519
mu0,0.586464800318028,0.0525482185092679
sigma0,0.441382067284083,0.0357736616301082
beta,1.48293272738273,0.021926310017221
mu0,0.453094394292554,0.0522575036046398
sigma0,0.424429889962775,0.0328923335411072
beta,1.467172844396,0.0218699743095801
mu0,0.612606602085229,0.0517762022200096
sigma0,0.426453998318582,0.0387651556668686
beta,1.48442037018734,0.0184273652378132
mu0,0.491393320152046,0.0525386361072067
sigma0,0.47744002228059,0.0356840355583189
beta,1.48122014968322,0.0177549414641214
mu0,0.491393369561632,0.049260261978682
sigma0,0.411293490910123,0.0291891694565843
beta,1.50199170021553,0.0238101498894063
mu0,0.54041614155071,0.0595761043941547
sigma0,0.409330394076613,0.0346183535962223
beta,1.48627496628131,0.0226378016032218
mu0,0.502940330753182,0.04409741547482
sigma0,0.405963171574487,0.0307126015699515
beta,1.44491994937117,0.0263224285104318
mu0,0.495587727663864,0.0577494266181069
sigma0,0.391824215116301,0.0336073190463122
beta,1.47293678965129,0.0228348274141111
mu0,0.397012698338436,0.0528986743873084
sigma0,0.388298254374308,0.0308323634914903
beta,1.49943668717631,0.0215427799947661
