term,estimate,std.error
sigma0,0.525363002221528,0.0523091387930157
beta,1.50455452416662,0.0186955144473701
R1_K[1],0.963232207687814,0.0186023530979762
R1_K[2],0.289882469866063,0.0137165262189136
R1_K[3],0.173583072623987,0.010227934703908
mu0_true,0.068411839828582,0.083177065775157
sigma0,0.476720668423635,0.0570129315610839
beta,1.5227093694893,0.0259877417017942
R1_K[1],0.904931720153607,0.0224669837885086
R1_K[2],0.260943870114362,0.0194722631430943
R1_K[3],0.193197399022441,0.0127152540481185
mu0_true,0.184013018412369,0.084997301256278
sigma0,0.435021781647804,0.0470346339480755
beta,1.49761487535366,0.0205884186525437
R1_K[1],0.968897094531118,0.0190707998701076
R1_K[2],0.287149794649018,0.0181102591355608
R1_K[3],0.193381504688238,0.00993910858218442
mu0_true,0.0849781656254716,0.0677691242605325
sigma0,0.489818726424597,0.0550297317167396
beta,1.48539307817639,0.0234973027340813
R1_K[1],0.971508048361515,0.021924310442706
R1_K[2],0.256959885580887,0.0188352032096858
R1_K[3],0.184938155456586,0.0115693591832844
mu0_true,0.165501375944699,0.0841585899993154
sigma0,0.43697723006431,0.0471658031977719
beta,1.4759815629192,0.0219866834028839
R1_K[1],1.00043074387324,0.0222710908217989
R1_K[2],0.275251716069115,0.0210204417307894
R1_K[3],0.197711633656116,0.0110539377854432
mu0_true,0.271861858898435,0.0793968548164117
sigma0,0.415114126554353,0.0451192726277651
beta,1.50374543108302,0.0238718765305764
R1_K[1],0.960161750692018,0.0230238294868394
R1_K[2],0.304133480199337,0.0200211999317044
R1_K[3],0.190302378424681,0.0109879641131571
mu0_true,0.219039225307532,0.0735587861520978
sigma0,0.488631792632067,0.05102428406377
beta,1.52161154324773,0.0216293680230717
R1_K[1],0.94354042622497,0.019629896484469
R1_K[2],0.315825437002377,0.0174300536520285
R1_K[3],0.191106460049312,0.0104883421896624
mu0_true,0.0825448826176456,0.0812264706315843
sigma0,0.548582496941196,0.0632029832632738
beta,1.47433837305774,0.0230988135495062
R1_K[1],0.957259996748201,0.0205009515885259
R1_K[2],0.298292324240182,0.0144674733093339
R1_K[3],0.19961924941773,0.0118224061535369
mu0_true,0.174711510362029,0.0891108336371533
sigma0,0.460651175354568,0.0554988679603664
beta,1.51173968359946,0.0199329042314512
R1_K[1],0.953592446323252,0.0185830074757934
R1_K[2],0.296650060232075,0.0137737723207339
R1_K[3],0.179195624549776,0.00899629664973372
mu0_true,0.169181466044843,0.0729702578924501
sigma0,0.544100585068095,0.0584509382497199
beta,1.47899676668535,0.0227944409336042
R1_K[1],0.952213277048495,0.0234970555367905
R1_K[2],0.284189610297886,0.018071881273041
R1_K[3],0.182450536937656,0.0100059693383952
mu0_true,0.11567846730445,0.0940725107462682
sigma0,0.401179764304484,0.0466523512215313
