term,estimate,std.error
sigma0,0.513988579404709,0.0419796098899659
beta,1.48441431050824,0.0187875207728057
R1_K[1],0.953953678019369,0.0181502458272971
R1_K[2],0.280092921904072,0.0168740174355826
R1_K[3],0.201574370617966,0.00948078846675976
mu0_true,0.286050961608216,0.0664184428485499
sigma0,0.416525225091615,0.0369418259076581
beta,1.51329189248356,0.0204241103427163
R1_K[1],0.946716074495561,0.0179608233559502
R1_K[2],0.303134443427774,0.0168591856634086
R1_K[3],0.191683663152813,0.00904929100715956
mu0_true,0.260649906960043,0.0599212799878226
sigma0,0.487015418836203,0.0464567633139455
beta,1.50241843392401,0.0170403024132672
R1_K[1],0.964441756180791,0.0162116573473297
R1_K[2],0.277787384437793,0.0154954288508181
R1_K[3],0.208493364473773,0.0088170795016305
mu0_true,0.145439725782569,0.0660326053473444
sigma0,0.452507241817557,0.0423124584620887
beta,1.47860705106498,0.0204864143015576
R1_K[1],0.967909723212003,0.0185316796642396
R1_K[2],0.283478024566617,0.0187824246691136
R1_K[3],0.187518728276251,0.0102831764929857
mu0_true,0.238379733683411,0.0630524339649318
sigma0,0.473159501993562,0.0413477025072776
beta,1.47658322783897,0.0175645353634326
R1_K[1],0.993088953096635,0.0174929518076447
R1_K[2],0.322293862530699,0.0149931770095638
R1_K[3],0.201794508086448,0.0081497348871648
mu0_true,0.15386348036214,0.0609937809594336
sigma0,0.477463085337979,0.0439497055188889
beta,1.49558526540722,0.0183548642223633
R1_K[1],0.924425487521133,0.0167182743652502
R1_K[2],0.288190354183665,0.0156636886980467
R1_K[3],0.207933965758446,0.0078653069242163
mu0_true,0.179249542848091,0.064255168901989
sigma0,0.488557945751237,0.0417948934085872
beta,1.50520105619608,0.0212263874416911
R1_K[1],0.93421100465792,0.0207671756694221
R1_K[2],0.261272370805764,0.0140267551328572
R1_K[3],0.180665639301836,0.00966958665510301
mu0_true,0.278991657420917,0.0655305799672076
sigma0,0.409698721313711,0.0387747306535592
beta,1.46999537471385,0.0181775344029761
R1_K[1],0.966343664336286,0.0176521132146425
R1_K[2],0.270461718667632,0.0192095282383362
R1_K[3],0.207896175938977,0.0094830499160593
mu0_true,0.210941053115503,0.0601426383263329
sigma0,0.488677434263601,0.0439330917053477
beta,1.50821763975946,0.0157485208486403
R1_K[1],0.957734086246873,0.0140753764487235
R1_K[2],0.316068159912323,0.0132952718322039
R1_K[3],0.188261722143396,0.00808304360810873
mu0_true,0.151206511048188,0.0632103935680033
sigma0,0.443019996641299,0.0430282500571962
beta,1.488838358943,0.0177206846838931
R1_K[1],0.967401531895672,0.0178406221486042
R1_K[2],0.306321149667373,0.014165805657945
R1_K[3],0.198321794419447,0.00919237261527702
mu0_true,0.0556581180312861,0.0628996129244838
sigma0,0.447674525939516,0.0384747353283347
beta,1.51393588247526,0.0164637033865254
R1_K[1],0.954913834072396,0.0154660746123802
R1_K[2],0.272781241888119,0.013515162495242
R1_K[3],0.187725877836972,0.00676539379521723
mu0_true,0.107597619480672,0.0607372490534423
sigma0,0.504525314694729,0.0437004957625594
beta,1.46543447194757,0.0180346800928054
R1_K[1],0.981129429810461,0.0177761777884453
R1_K[2],0.28518783477137,0.015548580955001
R1_K[3],0.184424865620852,0.00828514940310264
mu0_true,0.11088083597078,0.0719898540012979
sigma0,0.443715552254954,0.0398239184738831
beta,1.48225225213219,0.0174790259284944
R1_K[1],0.979280909969098,0.0177390501396125
R1_K[2],0.310491760089482,0.0152514297772844
R1_K[3],0.191769944544472,0.0108442365289557
mu0_true,0.207673574374922,0.0617110011343259
sigma0,0.38476624414135,0.036876465637258
beta,1.49663134188619,0.0220678878280141
R1_K[1],0.927755215520338,0.0186028924188832
R1_K[2],0.287486584079108,0.0129792274962892
R1_K[3],0.175613655901941,0.00903894935152015
mu0_true,0.100631079823441,0.0607911249667666
sigma0,0.470443711599919,0.0412826521875747
beta,1.4990166050081,0.0166485899610584
R1_K[1],0.9877756404348,0.0154946245147553
R1_K[2],0.278747445191793,0.0154033745284765
R1_K[3],0.198665264127971,0.00875596615650359
mu0_true,0.166962138640222,0.0601010580634512
sigma0,0.476354027380043,0.0445471887632373
beta,1.49029439973385,0.0167157756486339
R1_K[1],0.97275307451352,0.0148509110622649
R1_K[2],0.274193685428159,0.0174017722701112
R1_K[3],0.1906276720173,0.00882533259237249
mu0_true,0.0904140226853387,0.0621902245988693
