term,estimate,std.error
sigma0,0.473384329671493,0.0362549179974977
beta,1.53029538510209,0.018454913041201
R1_K[1],0.964674002963922,0.0162877255093918
R1_K[2],0.299574214448546,0.0143046397172909
R1_K[3],0.19287269043688,0.00745723468699709
mu0_true,0.294372961877027,0.0537641646429021
sigma0,0.442147510034018,0.0341238489858661
beta,1.48574620526303,0.0166264023432397
R1_K[1],1.03586876448523,0.0159458725930375
R1_K[2],0.301252721935497,0.013009549126177
R1_K[3],0.191558882967178,0.00813395324064458
mu0_true,0.214342526453103,0.0527254973281394
sigma0,0.558700766183535,0.039997389642299
beta,1.48169060783489,0.0161897639578399
R1_K[1],0.998277087823373,0.0151016174939355
R1_K[2],0.292859988198076,0.0124410670061603
R1_K[3],0.209020487836603,0.00768494407118209
mu0_true,0.190166374243076,0.0611676312166985
sigma0,0.504169320512116,0.037618516023678
beta,1.49016030174055,0.0146660552269996
R1_K[1],0.994377788092519,0.0133977724878919
R1_K[2],0.310067379015204,0.0126220717595692
R1_K[3],0.203132894461952,0.00717216132536873
mu0_true,0.128550899545669,0.0539575348456392
sigma0,0.5221536940663,0.0392958691326688
beta,1.50783411312607,0.013719823581574
R1_K[1],0.978446006878075,0.0120434391377857
R1_K[2],0.282820926683809,0.011678371294913
R1_K[3],0.201429510030979,0.00732777725589181
mu0_true,0.246475373571222,0.061677092093969
sigma0,0.475683837008264,0.0382517349347514
beta,1.49003521296657,0.0141390021001177
R1_K[1],1.00727035828904,0.0140384360503053
R1_K[2],0.302247225135045,0.0119287446320871
R1_K[3],0.203344263681462,0.00738560559097956
mu0_true,0.182158227400263,0.0550725951768182
sigma0,0.496870919516773,0.0412835606203942
beta,1.49142663167684,0.017306737132686
R1_K[1],1.01366021431856,0.0158863024077024
R1_K[2],0.298159317362571,0.0119069889775555
R1_K[3],0.199543564881024,0.00782734218737041
mu0_true,0.18797149732102,0.0568086785004939
sigma0,0.469453119168931,0.0366829453083835
beta,1.4827566797624,0.0177000177711736
R1_K[1],1.02133001763616,0.0160687221266739
R1_K[2],0.316250326040461,0.0134246197927209
R1_K[3],0.217980764664985,0.00876959810215792
mu0_true,0.218843976624444,0.0580461371368837
sigma0,0.548159174875584,0.0425814770264511
beta,1.46541986909784,0.0141471054916839
R1_K[1],1.02006187804832,0.0137146031063186
R1_K[2],0.311290298669991,0.0102771391762175
R1_K[3],0.195442914795329,0.00693510382067514
mu0_true,0.1299514595868,0.0603578951974548
sigma0,0.443848505240873,0.0356548979694983
beta,1.49785048991811,0.0174762143645052
R1_K[1],0.994092452875029,0.0180169192980617
R1_K[2],0.287646703110891,0.0133449624421756
R1_K[3],0.19879076273946,0.00983340983962377
mu0_true,0.242131612829648,0.052456373507485
sigma0,0.565098214993872,0.0403312982770708
beta,1.49780566746028,0.0146832560419004
