term,estimate,std.error
sigma0,0.527331946715092,0.044775756729913
beta,1.53467594547524,0.0183262619758797
R1_K[1],0.997771684921166,0.0163316213120218
R1_K[2],0.288366506655389,0.0160328639679125
R1_K[3],0.203803485115352,0.00827833759037531
mu0_true,0.308203839741702,0.0637298716959583
sigma0,0.455136789908603,0.0417975210568929
beta,1.53364410459392,0.0181274461135875
R1_K[1],0.978574382486548,0.0174431192896045
R1_K[2],0.327368677180021,0.0144469003529843
R1_K[3],0.186160101426555,0.00789731117000386
mu0_true,0.26289654579548,0.0581909170333661
sigma0,0.508656011231971,0.0468610823269723
beta,1.49688192769115,0.01444059910638
R1_K[1],1.0192261708597,0.0135723339193712
R1_K[2],0.29471152343919,0.0138194078247342
R1_K[3],0.200024767101067,0.00828524226582198
mu0_true,0.149579755572038,0.0690655817172044
sigma0,0.509226817635535,0.0496886096070803
beta,1.45471131004476,0.01771282406345
R1_K[1],1.02390837418404,0.0156892512733239
R1_K[2],0.282516843121814,0.0147393736336067
R1_K[3],0.206925474902726,0.00874562259040689
mu0_true,0.0748978855641186,0.0712199555951628
sigma0,0.416744063057123,0.0382913176304162
beta,1.52142424497257,0.0226518076323684
R1_K[1],0.995239382488835,0.0210168721445551
R1_K[2],0.311061991180137,0.016829884663227
R1_K[3],0.181018246115374,0.00980139293694998
mu0_true,0.283496636947065,0.0602977088403411
sigma0,0.499129094544134,0.04902389316286
beta,1.48689363458816,0.0175869794265578
R1_K[1],0.990666387019658,0.0154388432395587
R1_K[2],0.296634320555499,0.0144279617922293
R1_K[3],0.191713931161626,0.00838589993085495
mu0_true,0.231770551547512,0.066540165102473
sigma0,0.525286117657346,0.0492606021265397
beta,1.49729256439521,0.0180735980011195
R1_K[1],0.996266490794625,0.0166278883949101
R1_K[2],0.315443089601919,0.0161028016311323
R1_K[3],0.200909173939487,0.0092398351436545
mu0_true,0.216434508988115,0.0707684573451345
sigma0,0.5705140308509,0.048058737257737
beta,1.54061668965766,0.019473222810709
R1_K[1],0.988834222748922,0.0180114436278367
R1_K[2],0.286034032089575,0.0158977625836123
R1_K[3],0.20496264416786,0.00960688304238579
mu0_true,0.276316505481566,0.0769522406339416
sigma0,0.468751993928813,0.0426975886675515
beta,1.5302626995899,0.015546234041695
R1_K[1],0.976002300305088,0.0136183746890114
R1_K[2],0.291051216180349,0.0139841398769162
R1_K[3],0.182551419028687,0.00922128322625322
mu0_true,0.232143793631632,0.0634180622545453
sigma0,0.608705344665045,0.058192461244651
beta,1.4869054009382,0.0175307316533212
R1_K[1],1.01119988164061,0.0167313127011033
R1_K[2],0.327217021696189,0.0149193268212358
R1_K[3],0.187028298245263,0.00898296282913041
mu0_true,0.226089068399395,0.0751483254896775
sigma0,0.582375132904351,0.0508696024341379
beta,1.46205989629645,0.0186292657085358
R1_K[1],1.00126167358495,0.01773787038961
R1_K[2],0.278337841998805,0.013584633165898
R1_K[3],0.214835265381221,0.00946096363220675
mu0_true,0.0403846453066835,0.0800344758470532
sigma0,0.540242269811088,0.0467593377581951
beta,1.49974005716068,0.0193515104244614
R1_K[1],1.00614121478414,0.0193974945024845
R1_K[2],0.281609475942808,0.0133433138415727
R1_K[3],0.201652798425389,0.00850086051100211
mu0_true,0.209320121564981,0.0739568813358748
sigma0,0.514087509216642,0.0438799781219381
beta,1.47247935571236,0.0170434240635508
R1_K[1],1.02247051447066,0.0165152503443873
R1_K[2],0.31032930921865,0.0124716766610722
R1_K[3],0.207010353572746,0.00945113873231734
mu0_true,0.10953819976163,0.067964036364993
sigma0,0.553928761759369,0.0498395950850827
beta,1.48616238264656,0.0209607992542368
R1_K[1],1.01438964086662,0.0195849743722145
R1_K[2],0.304900465646063,0.0192934541332098
R1_K[3],0.215868569738195,0.0088695127823903
mu0_true,0.22870604523472,0.078864484520328
sigma0,0.407874159582665,0.0354563965968778
beta,1.46424557455316,0.0166989085130194
R1_K[1],1.02694664364445,0.0161559035067504
R1_K[2],0.3354202562721,0.0169661347620022
R1_K[3],0.200343654792631,0.00903979131417809
mu0_true,0.220864529820528,0.0602877612161782
sigma0,0.480974815867945,0.0409588961896754
beta,1.49547763502741,0.0163227978165539
R1_K[1],0.986174313753834,0.0163597666767539
R1_K[2],0.277190592970662,0.0118577571474467
R1_K[3],0.210048140212925,0.00854759986893269
mu0_true,-0.00777420938061254,0.0632323141341917
sigma0,0.51858609583412,0.0430183902057884
beta,1.50520747583166,0.0176424053439193
R1_K[1],0.965358726978373,0.0164243010492098
R1_K[2],0.314790071529384,0.0151788843029024
R1_K[3],0.185421311557412,0.00792066917995758
mu0_true,0.22074449024996,0.0731726640162593
sigma0,0.476687222373638,0.0401622008860859
beta,1.46138271424173,0.0153971852068162
R1_K[1],1.03881096162279,0.0159181081343384
R1_K[2],0.289283835457842,0.013473940807151
R1_K[3],0.209225624015175,0.00808070448346754
mu0_true,0.083531813669252,0.0643360449621195
sigma0,0.541251920337777,0.0501522986336425
beta,1.48790676506152,0.0183999047848484
R1_K[1],0.981157110964065,0.0177951555596492
R1_K[2],0.296252534388646,0.0148144288206319
R1_K[3],0.19164486722126,0.0077504054611418
mu0_true,0.193463694949752,0.0708200739207502
sigma0,0.477086416218785,0.0428117143782931
beta,1.50618689619027,0.0185917142633285
R1_K[1],0.992255744023332,0.0174628837172531
R1_K[2],0.322010198058553,0.0150690689928012
R1_K[3],0.201801499912418,0.00811264144974879
mu0_true,0.230591834221999,0.0631456788005553
sigma0,0.585503158705,0.0533614284190216
beta,1.50061286070135,0.0155343095740502
R1_K[1],1.00260363855486,0.0140880990637637
R1_K[2],0.309934545839706,0.0139302892798532
R1_K[3],0.196332725552892,0.0079372399450924
mu0_true,0.136588104856692,0.0816592855304723
sigma0,0.51027039321677,0.0454635017042762
beta,1.50355444043064,0.0171853354636071
R1_K[1],0.98793651420845,0.0156239093075863
R1_K[2],0.310940449288995,0.0137244728520459
R1_K[3],0.187889104631761,0.00847398545714344
mu0_true,0.143082343990156,0.0716922677976611
sigma0,0.504377249525611,0.0492262955952154
beta,1.52834187059277,0.0167999972028936
R1_K[1],0.966456065054405,0.0170097721662673
R1_K[2],0.285666988946928,0.0130211366963886
R1_K[3],0.213665061336938,0.00769058305104641
mu0_true,0.176001528849948,0.0712074521482524
sigma0,0.446632867696176,0.0434729940315183
beta,1.53830640868054,0.0208680672229517
R1_K[1],0.979313944100232,0.0191760348771323
R1_K[2],0.28855999188443,0.0189635094418797
R1_K[3],0.184787998510295,0.00944181216783508
mu0_true,0.171158733832964,0.0649144714430266
sigma0,0.588448780398222,0.0524419993121698
beta,1.51154793228193,0.0182238051514183
R1_K[1],1.01213812354171,0.0189806665165437
R1_K[2],0.301351199026271,0.013235621234558
R1_K[3],0.194337941921944,0.00949277578710588
mu0_true,0.287540219653633,0.0703211316667974
sigma0,0.600071052582406,0.0549257442708855
beta,1.47224053803797,0.0157266794264922
R1_K[1],1.02249669932642,0.0147063788743897
R1_K[2],0.304817676992306,0.0115717811800064
R1_K[3],0.205140373668954,0.00857273748941397
mu0_true,0.110389302056597,0.0786131729650849
sigma0,0.481314731529548,0.0451072353099826
beta,1.47478098703742,0.0165051132303714
R1_K[1],1.03809838259297,0.0165843046840236
R1_K[2],0.319667872548994,0.0154817854333433
R1_K[3],0.209343625702969,0.00838536099331312
mu0_true,0.0827198610632319,0.0637847545143471
sigma0,0.511432775735236,0.0506429334648098
beta,1.49869321576767,0.0177248973443748
R1_K[1],0.999314808425927,0.017059874505817
R1_K[2],0.319536312358695,0.0158538581937369
R1_K[3],0.205087276248908,0.00837878959836828
mu0_true,0.14430529087141,0.0673801852803212
sigma0,0.542268801036347,0.0504997466460644
beta,1.49524436570421,0.0193296811602793
R1_K[1],0.993260018149899,0.019332538805037
R1_K[2],0.294037069632555,0.0160283640840381
R1_K[3],0.181367413283155,0.00857632438526858
mu0_true,0.192860806401345,0.0713895358635611
sigma0,0.47451144559957,0.0429578623071059
beta,1.51279950466789,0.0184046063683581
R1_K[1],0.978007069624486,0.0175120528238169
R1_K[2],0.309231534902921,0.0176182316204249
R1_K[3],0.199122680809339,0.00792826099057311
mu0_true,0.223610825212049,0.0657858818301601
sigma0,0.54452752608309,0.0508515151949063
beta,1.47047115016594,0.0213845151310066
R1_K[1],1.02195281905551,0.0220931623779763
R1_K[2],0.29678750914689,0.0156661193092766
R1_K[3],0.205732910948497,0.0102404942610764
mu0_true,0.097424412276885,0.0791846233001746
sigma0,0.485723462607609,0.0461148521415693
beta,1.51268276032565,0.019174473403408
R1_K[1],0.996309213397701,0.0178176928813439
R1_K[2],0.289454287125516,0.0125813544595621
R1_K[3],0.193773192958005,0.00891534914001832
mu0_true,0.192917317352857,0.0588091193704594
sigma0,0.499888786751053,0.0480699454752406
beta,1.47459985050997,0.0177199480102397
R1_K[1],1.01054730891915,0.01729560254482
R1_K[2],0.286451349597372,0.0144700094330871
R1_K[3],0.203832877295352,0.00903887922297026
mu0_true,0.181633598606061,0.0668884973566257
sigma0,0.52948093004141,0.050632998774672
beta,1.52725529143817,0.0206585127561916
R1_K[1],0.994166645615753,0.0194839034857787
R1_K[2],0.280552915016925,0.0141171876240413
R1_K[3],0.195580306133075,0.00871216604306004
mu0_true,0.230062842207914,0.0672034828337802
sigma0,0.505594256541771,0.044844163209122
beta,1.46876856283811,0.0204394172200626
R1_K[1],1.02108748852295,0.021115260397414
R1_K[2],0.291565902950102,0.017965595418586
R1_K[3],0.197641299993418,0.0104433109244026
mu0_true,0.224046845574891,0.0704247514032862
