sample_size,parameter,mean,sd,2.5%,50%,97.5%
1000,beta,1.9608127933694954,0.01843977896742344,1.9258001565441414,1.9612907625322589,1.9961180879664675
1000,theta,9.77543134562741,0.12122618027747908,9.5272244536696,9.785109903489394,9.976724477433429
1000,beta,1.9988705225630152,0.017629911025639412,1.9670819677893197,1.9987231646466017,2.032690423514838
1000,theta,10.001170937072947,0.11860359298351976,9.783485438990098,9.996959042208521,10.244150845283226
1000,beta,2.002085739101928,0.02036598248680135,1.954493981637613,2.0041054761789763,2.0385185374445354
1000,theta,10.088218525308386,0.13777697550466178,9.78064172384559,10.099332457025053,10.337414399298805
1000,beta,2.001401284602031,0.017773694245385552,1.9665832247182853,2.0015756089038046,2.035285770970296
1000,theta,9.98454194889312,0.11905869336303902,9.728624452260766,9.995856934696393,10.21224767857516
1000,beta,2.0139527144828966,0.019582427109127335,1.9770707279766127,2.0137858459638016,2.0495719153978014
1000,theta,10.055032957190319,0.12829378758269702,9.813154881467486,10.049030212048766,10.29357918727298
1000,beta,2.010709825861362,0.020552710084478443,1.969194865013339,2.0106793674230947,2.0499090388006396
1000,theta,10.117674189375165,0.13682719538607327,9.838530692517239,10.117690635037572,10.377410255295084
1000,beta,2.0226305902508743,0.016986637075290714,1.988507071792876,2.023183632181599,2.0549150308795947
1000,theta,10.08387688219818,0.11185427987306548,9.887328688972993,10.087166868630796,10.278286661716873
1000,beta,1.991770471346738,0.01748726136908963,1.95744223687284,1.992602035380958,2.025758197604395
1000,theta,9.842937992255404,0.11330582097258819,9.617679105423743,9.847232754146725,10.044605067789929
1000,beta,2.0194835562515667,0.02018520052349882,1.9834855080182556,2.0196095974870802,2.0605468386012054
1000,theta,10.13713584240998,0.13398885073458008,9.879581943031766,10.138188188579885,10.372293577845642
1000,beta,1.9778824853743915,0.01849536461066971,1.9417766739552822,1.9779388933573459,2.0152161873946777
1000,theta,9.906018137940281,0.12250059837008549,9.66549935007064,9.903777661811692,10.145612408665702
1000,beta,2.029522578373633,0.016810137904804276,1.9966457813826284,2.0285591788129436,2.062348516900837
1000,theta,10.13156506955545,0.10978932015935759,9.920950584437541,10.130572241491196,10.344383715247705
1000,beta,1.9991736261659714,0.01617423979247537,1.966079192450866,1.9993261510843667,2.029107851869351
1000,theta,10.021599117121136,0.11092911426468831,9.776932343956892,10.024166340565127,10.226132063072413
1000,beta,1.9874331023440246,0.017916821633802073,1.9518576504427383,1.988032140630703,2.022500619112798
1000,theta,9.920693417967776,0.11809427188589784,9.703158339703242,9.9210313645642,10.142400411752071
1000,beta,2.0016844734149264,0.017939915685749364,1.9683163802731571,2.000489894982636,2.0388351693157793
1000,theta,10.03502978873066,0.11715075409010055,9.794099071665688,10.02847525062226,10.262344418351915
1000,beta,2.0020035118795025,0.017913503311761926,1.9682750863030458,2.001906627923642,2.0368578641415613
1000,theta,10.069732868931904,0.11923781056231776,9.844268200384546,10.070271993060448,10.317601966100774
1000,beta,2.0127817673352397,0.01959903489101927,1.974079029784246,2.015188592886763,2.0436858813109064
1000,theta,10.134800899579803,0.13053986132425083,9.86373150370877,10.155948241301143,10.333592658119333
1000,beta,1.9874144798380118,0.01720002712452965,1.9541167441356087,1.987790829213149,2.022887067904642
1000,theta,9.875559965618892,0.11605256905140689,9.651469893162922,9.874955939590315,10.108968087358571
1000,beta,2.010716199547654,0.017182162743879324,1.9785487811234592,2.0110719357313163,2.047166205793103
1000,theta,10.020932553091198,0.1180372728231303,9.787320752308197,10.028712607954347,10.266100089755358
1000,beta,2.0058916878746103,0.0212343678501339,1.9610666597380189,2.0060241647634003,2.0486621759443633
1000,theta,9.991469326575865,0.1396211124871794,9.699925685962267,9.998588545306008,10.239773254897138
1000,beta,1.9851004723935632,0.019247439468945627,1.949233689989065,1.9840715187922529,2.0274645612384727
1000,theta,9.899954159878206,0.1298145901187917,9.660121726273367,9.895345282159326,10.175263107187796
1000,beta,1.9857687685778662,0.017369434829862807,1.950913561152523,1.985917484418994,2.017161438994096
1000,theta,9.958678273068289,0.11778789655609963,9.73426246629408,9.961852838696661,10.168945224563426
1000,beta,2.0209403445778813,0.017894468813436634,1.9841035042389015,2.020991469810551,2.0527157315907107
1000,theta,10.14880831113305,0.1205664369115143,9.896338281333602,10.146234703171666,10.370471992210312
1000,beta,1.9879655435870007,0.020148296228692863,1.950454200239837,1.987768402688907,2.025508575089993
1000,theta,9.975074701824315,0.13499489890487737,9.711573947022698,9.977152287822127,10.21087147364979
1000,beta,2.00423038184082,0.018213403120583428,1.9708349655413748,2.003544272574068,2.0395066164532523
1000,theta,10.086329706368629,0.12469193549134036,9.835104984613821,10.085874899635588,10.333665182582983
1000,beta,1.9887454001428655,0.017646484192069333,1.9543373136935414,1.9891485617073625,2.020508391025709
1000,theta,9.890167394633897,0.12050850380629323,9.654828993328229,9.890807838882715,10.10285019215277
1000,beta,2.0037188132823,0.017455024934504012,1.9668890752757027,2.003899953868647,2.0345900683590727
1000,theta,10.027228751333812,0.11318824252965702,9.783525736548532,10.025234440706255,10.230645112296191
1000,beta,2.0000476421677784,0.01815509313435463,1.9625064416612399,2.000648719432261,2.0316936337109794
1000,theta,9.961216761352375,0.1180134000541295,9.71041343334541,9.966465874889796,10.165775062430068
1000,beta,2.0487859085090743,0.01776784409752834,2.014824029144952,2.0493792562506266,2.0799731726995514
1000,theta,10.340120439955086,0.11879239815475864,10.09748814216032,10.349290665630608,10.55631706737593
1000,beta,1.9668660020393054,0.01934260659304664,1.9260828664481227,1.9680034128018928,2.003292804263379
1000,theta,9.760900909027887,0.1317311143836228,9.486526655764292,9.770366981978299,10.006199041454737
1000,beta,1.9727248496616623,0.01975850833540379,1.9351775174194756,1.9729207707091152,2.0105512435806476
1000,theta,9.862161234197117,0.13204025059936547,9.594098971145122,9.861806814196278,10.134672482701605
1000,beta,2.0038842560594703,0.02219870761638656,1.9626593235999508,2.0038578758115277,2.0455621897781526
