sample_size,parameter,mean,sd,2.5%,50%,97.5%
5,beta,2.77777416388538,0.6487391910561633,1.7237063200342768,2.7196979531650776,4.236079198855469
5,theta,4.198498263548301,0.5942872495151714,2.961794199002533,4.216872697362763,5.282414544984785
5,beta,2.025351110725392,0.3239141184003045,1.468370865621805,2.0148878636911904,2.641455225566607
5,theta,5.89967741273459,1.1054909304317302,3.674018846267127,5.925610841425188,7.883746823776631
5,beta,1.985627729827983,0.32931861181006017,1.3647794019925161,2.0255415363449196,2.584290765272952
5,theta,4.974879550314689,0.9377112012907114,3.116242833460605,5.059225162402035,6.733565549409738
5,beta,1.9730565988911555,0.37511623363158464,1.296109152094668,1.9497110059502587,2.6981982788308496
5,theta,4.9934450880739,0.9702407001303679,2.9324083309934115,5.0122934437960085,6.658040386138973
5,beta,2.16722467076842,0.3901753508041931,1.444294562516474,2.140478436604428,2.891427820468981
5,theta,4.924565764741659,0.8068062572244721,3.3392893462698057,4.975591856143096,6.6218886781796416
5,beta,2.120943251862607,0.39140576695591156,1.3889814027544838,2.1042788716537304,2.942052130337599
5,theta,4.786923471641597,0.786292007791867,3.1516638063169506,4.831879639609751,6.376571190514231
5,beta,1.8903117416370407,0.3451840825065918,1.2911258570171982,1.8756149952342045,2.583617399491701
5,theta,4.788681506433242,0.9658138907178073,2.8816924104850985,4.794940179571448,6.7728176156012445
5,beta,2.1282041124030924,0.4661351057855673,1.4448021726347595,2.072641559063523,3.106762734645002
5,theta,4.081815002667394,0.7992612706387987,2.6438020508729037,4.049997004823904,5.756950963263845
5,beta,2.27393006819524,0.38309570640708085,1.5588306476025184,2.2590265400043035,3.045009477646162
5,theta,5.570576185292224,0.8713854148900165,3.7283029302799546,5.596631456688947,7.121419716948837
5,beta,1.6998283908464726,0.3331427861155945,1.0925489164794546,1.6982756788820472,2.37712816298642
5,theta,3.9885123735487826,0.9131345756694895,2.1111487811462197,4.103802205988169,5.612027842746683
5,beta,2.16651823339078,0.4246604003127549,1.4031603874723069,2.1765132746435953,2.9987012666067656
5,theta,5.157943008715978,0.937802186380805,3.2788597878386376,5.143324957673483,6.755086755498351
5,beta,1.9558045196869627,0.32511499652727777,1.2246761107068485,1.9514320243262486,2.6089321999769712
5,theta,4.6325423853144665,0.933062102727204,2.4055920868887806,4.70233864579215,6.362615457803979
5,beta,2.1558075161208134,0.39645106289916515,1.415016834386162,2.1372473858191334,2.9718212572240903
5,theta,6.1272455790657006,1.0708446280739536,3.951996916296607,6.196303393330952,8.132696658780837
5,beta,2.088232669624438,0.4267082138771813,1.3574732553141204,2.0638315356889807,2.9422990931299724
5,theta,5.07111430333364,0.9288526688233624,3.2729925893229534,5.125383322688213,6.790216792289971
5,beta,1.6095277499342429,0.2646642494843332,1.119033065550369,1.611398689940247,2.1444398614507163
5,theta,3.9333988003218905,0.9048547733154543,2.147484849878035,3.9255463121222123,5.765637646361015
5,beta,2.5886250561871234,0.43530496535035157,1.7918125325632275,2.5886802943226663,3.462964223468037
5,theta,5.531907522548498,0.794464190826952,4.023896979700265,5.5470001351535,6.934102976276273
5,beta,2.2099859219487388,0.5609256320084748,1.2277972309188285,2.1671691561879545,3.3191278674285902
5,theta,5.354219581441335,0.954457186554502,3.320260200185934,5.412033431338381,7.199802092403484
5,beta,2.0414679917371803,0.40115310410390115,1.3273646406324295,2.0112584079243887,2.873594671135538
5,theta,5.990275314324271,1.0349706627910724,3.8364831933853587,5.997151184443879,7.988699769034444
5,beta,1.6106530166468647,0.29036017616158577,1.0698905049087726,1.6066861291591776,2.1468212849361445
5,theta,3.528134709969259,0.8824635752074093,1.9169240747485663,3.430094934184573,5.36138123036929
5,beta,2.0013870589227816,0.41316371421678044,1.264741368610824,2.011089265095736,2.7532942855601865
5,theta,5.424778257087525,1.0650665127198815,3.2384832132202828,5.477298015019877,7.242817568409612
5,beta,1.7767915509299999,0.3369213973616518,1.1985116669155085,1.7403573417635039,2.4977894661204267
5,theta,4.266390605857805,0.8984984167176863,2.611477789067407,4.2134478567711255,5.976921267204629
5,beta,1.8038322887624068,0.3948738698404984,1.1069244431948282,1.7821676613001909,2.658185301904617
5,theta,3.926405903885886,0.8370698926170967,2.3415712544342657,3.9757694965820645,5.444700134227215
5,beta,2.1108073750911482,0.362896595667271,1.4171892870911766,2.1032862345396675,2.8482489433886986
5,theta,7.021222957179695,1.2643231886923574,4.6306992661442425,6.993369094629085,9.44932196436051
5,beta,1.7410184465682097,0.35691375256365415,1.1255316929127788,1.732202386813815,2.5224080724106517
5,theta,3.175466766060218,0.7060098329959683,1.8446389411001554,3.144087627069112,4.542804945778055
5,beta,1.7160478255181912,0.33975655212717965,1.0795703372026904,1.6891259664518006,2.438609583395758
5,theta,3.8296230832420015,0.8758575815929801,2.186361863962108,3.816906577065078,5.555648177500476
5,beta,2.2480732034219737,0.42258187324011603,1.536295811256609,2.2022112196217662,3.157920813856408
5,theta,5.447702786265932,0.9140957560613767,3.607500797713321,5.420412389104692,7.1212347414538115
5,beta,1.9986539462004902,0.373797850036954,1.2932554472394542,1.985144169404783,2.731933071088209
5,theta,4.983259878782274,0.9438518314266765,3.2373778007306035,4.99347723530937,6.722595189227143
5,beta,2.734443292762354,0.6117128441204541,1.6584115284473762,2.7020283904075972,4.065467419621777
5,theta,5.734332788086539,0.8735350323750274,3.957608865707294,5.845569902481923,7.225053305453754
5,beta,2.4408991074623287,0.4956860737872362,1.4928249395350228,2.405805453975484,3.5477050154977974
5,theta,5.29673476762269,0.8481977951286823,3.6291046628844095,5.328714133100288,6.86051933434349
5,beta,1.9970917427179669,0.32298756865657285,1.3860938484626029,1.99870108218749,2.6435382741291695
5,theta,4.7223097430248,0.8476145588802103,3.0171725766874884,4.806408624418504,6.322509088529829
10,beta,2.0129536204732803,0.21546827121992992,1.634973593495364,2.0023394861940895,2.4448230634187285
10,theta,4.906438497540432,0.5926984910789171,3.781416365483009,4.889756961616577,5.989987847604606
10,beta,1.963098066216013,0.25980585730460587,1.5297127935977628,1.9546888698994311,2.4936159302554923
